50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,722edac3-6929-4d0d-87c0-23ebf0ff7339,1,,,3920385,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Egypt,774,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5265, 'name': 'Mohamed El Sayed Mohamed El Shenawy Gomaa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 66892, 'name': 'Mohamed Hany Gamal Eldemerdash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4063, 'name': 'Ahmed Elsayed Ali Elsayed Hegazy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 69563, 'name': 'Mohamed Abdelmonem'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 70835, 'name': 'Mohamed Hamdy Sharaf'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3568, 'name': 'Mohamed Naser Elsayed Elneny'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 66887, 'name': 'Hamdi Fathi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 66878, 'name': 'Ahmed Sayed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5261, 'name': 'Mahmoud Ibrahim Hassan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 66886, 'name': 'Mostafa Mohamed Ahmed Abdallah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Egypt,774,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa536823-ee30-4eff-ac2b-43082e3a9994,2,,,3920385,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Egypt,774,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 136064, 'name': 'Ernan Alberto Siluane'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 389641, 'name': 'Domingos João Macandza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3250, 'name': 'Edson André Sitoe'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 65742, 'name': 'Edmilson Gabriel Dove'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 10848, 'name': 'Reinildo Isnard Mandava'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 29482, 'name': 'Ricardo Martins Guimarães'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 23706, 'name': 'Alfons Amade'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10865, 'name': 'Witiness Chimoio João Quembo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 106068, 'name': 'Gildo Lourenço Vilanculos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 106074, 'name': 'Elias Gaspar Pelembe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 127547, 'name': 'Stanley Ratifo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Mozambique,4978,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d4562baa-106f-48e1-ab00-02d67f192bbc,3,,,3920385,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Egypt,774,['9d05ff67-0d5e-4fb4-a711-d5558ead4a3b'],0,,,,,,,,,,,,,,,,,Mozambique,4978,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d05ff67-0d5e-4fb4-a711-d5558ead4a3b,4,,,3920385,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Egypt,774,['d4562baa-106f-48e1-ab00-02d67f192bbc'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,48d43d0d-20d9-4003-af6f-9f541b468a5c,1791,,,3920385,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,71,Mozambique,4978,['82028712-90f7-4243-8af5-f5855b4ed2eb'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,82028712-90f7-4243-8af5-f5855b4ed2eb,1792,,,3920385,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,71,Mozambique,4978,['48d43d0d-20d9-4003-af6f-9f541b468a5c'],0,,,,,,,,,,,,,,,,,Mozambique,4978,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.841119,,,,,,,,,,,,,1f6809b6-cc5f-4733-b021-a5419c40cf88,5,,"[60.0, 40.0]",3920385,0,,,,2.3107712,,Right Foot,,"[57.9, 42.3]",,Ground Pass,,3.1144824,,,,Mohamed Salah,3531.0,,,,,,Kick Off,1,From Kick Off,Hamdi Fathi,66887.0,Left Defensive Midfield,2,Egypt,774,['67c9b6d1-983c-4341-b7b5-dad586d4d576'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.495,Pass,
,,,,,,,,,,,,,,,,,,1.011469,,,,,,,,,,,,,a06738ee-6d48-40d9-b7e6-3ca899a34782,9,,"[61.1, 31.5]",3920385,0,,,,0.43575785,,Left Foot,,"[80.0, 40.3]",,High Pass,,20.84826,,Incomplete,,Mahmoud Ibrahim Hassan,5261.0,,,,,,,1,From Kick Off,Mohamed Salah,3531.0,Center Attacking Midfield,2,Egypt,774,"['4df201ab-0692-434d-a349-a33a49643953', 'f08d5cfc-8a51-4c0f-9b13-2fe8dd9af21f', 'e70317fd-11aa-4e23-9899-3a60d37260fa']",3,,,,,,,,,,,,,,,,,Egypt,774,00:00:03.562,Pass,True
,,,,,,,,,,,,,,,,,,2.67914,,,,,,,,,,,,,f08d5cfc-8a51-4c0f-9b13-2fe8dd9af21f,11,,"[40.1, 39.8]",3920385,0,,,,-0.61832416,,Head,,"[64.7, 22.3]",,Low Pass,,30.189568,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Alfons Amade,23706.0,Left Defensive Midfield,2,Egypt,774,"['a06738ee-6d48-40d9-b7e6-3ca899a34782', 'c53c9ecc-a682-4de8-b446-743860bfa3b1']",4,,,,,,,,,,,,,,,,,Mozambique,4978,00:00:04.573,Pass,
,,,,,,,,,,,,,,,,,,1.520904,,,,,,,,,,,,,c2bbb910-8dd7-4a38-9b3b-f0ed20550e50,14,,"[55.4, 57.2]",3920385,0,,,,-2.4114573,,Right Foot,,"[43.0, 46.1]",,Ground Pass,,16.642416,,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,,,,1,From Kick Off,Mohamed Hany Gamal Eldemerdash,66892.0,Right Back,2,Egypt,774,['03e118e4-584c-4a73-ba34-0a2aa3d6c76d'],8,,,,,,,,,,,,,,,,,Egypt,774,00:00:08.837,Pass,
,,,,,,,,,,,,,,,,,,1.254151,,,,,,,,,,,,,7812f997-3dc3-4ef7-b685-b6080f6ba6c1,17,,"[43.0, 45.9]",3920385,0,,,,-1.5182133,,Right Foot,,"[44.1, 25.0]",,Ground Pass,,20.928926,,,,Mohamed Abdelmonem,69563.0,,,,,,,1,From Kick Off,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Center Back,2,Egypt,774,['e3fceac9-924a-4f8e-ba89-c2b48cee1f33'],11,,,,,,,,,,,,,,,,,Egypt,774,00:00:11.431,Pass,
,,,,,,,,,,,,,,,,,,1.636353,,,,,,,,,,,,,a746641e-3afb-4fa6-8405-9146390a90c1,20,,"[45.5, 24.2]",3920385,0,,,,-1.127348,,Right Foot,,"[55.0, 4.2]",,Ground Pass,,22.14159,,,,Mohamed Hamdy Sharaf,70835.0,,,,,,,1,From Kick Off,Mohamed Abdelmonem,69563.0,Left Center Back,2,Egypt,774,['efce9208-6987-4359-b71c-137142eeebce'],13,,,,,,,,,,,,,,,,,Egypt,774,00:00:13.810,Pass,
,,,,,,,,,,,,,,,,,,1.369749,,,,,,,,,,,,,3c7341d4-7cb1-40e5-ac28-dba0c196f732,23,,"[55.0, 4.6]",3920385,0,,,,2.557614,,Left Foot,,"[43.5, 12.2]",,Ground Pass,,13.784411,,,,Mohamed Abdelmonem,69563.0,,,,,,,1,From Kick Off,Mohamed Hamdy Sharaf,70835.0,Left Back,2,Egypt,774,['08088c44-4b6d-4206-b74b-b7525800c77d'],16,,,,,,,,,,,,,,,,,Egypt,774,00:00:16.026,Pass,
,,,,,,,,,,,,,,,,,,2.161176,,,,,,,,,,,,,90499fc0-0ef5-4d86-ba6c-9c9b9d860257,26,,"[42.5, 15.9]",3920385,0,,,,1.7021935,,Left Foot,,"[39.5, 38.6]",,Ground Pass,,22.897379,,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,,,,1,From Kick Off,Mohamed Abdelmonem,69563.0,Left Center Back,2,Egypt,774,['810d3a90-7ede-4ed3-a0fc-cd1c5b1f6661'],18,,,,,,,,,,,,,,,,,Egypt,774,00:00:18.838,Pass,
,,,,,,,,,,,,,,,,,,1.640035,,,,,,,,,,,,,9bb389e3-8ea1-451f-95a2-aa9b7492a4ea,29,,"[38.8, 46.1]",3920385,0,,,,1.4637157,,Right Foot,,"[42.1, 76.8]",,Ground Pass,,30.876852,,,,Mohamed Hany Gamal Eldemerdash,66892.0,,,,,,,1,From Kick Off,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Center Back,2,Egypt,774,['3861245d-36a2-4521-8ed9-c8bc633413b5'],22,,,,,,,,,,,,,,,,,Egypt,774,00:00:22.693,Pass,
,,,,,,,,,,,,,,,,,,1.76994,,,,,,,,,,,,,fff1f192-2c72-485c-b35c-e1b2414aa213,32,,"[40.5, 74.0]",3920385,0,,,,-2.3624055,,Right Foot,,"[24.3, 58.0]",,Ground Pass,,22.769278,,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,,,,1,From Kick Off,Mohamed Hany Gamal Eldemerdash,66892.0,Right Back,2,Egypt,774,['3f296b9b-9793-464e-8149-fdb432f0c38c'],26,,,,,,,,,,,,,,,,,Egypt,774,00:00:26.713,Pass,
,,,,,,,,,,,,,,,,,,2.172087,,,,,,,,,,,,,911b3031-08f8-4ac3-a414-6ed5e4911121,35,,"[34.4, 53.2]",3920385,0,,,,-1.7177554,,Right Foot,,"[29.9, 22.8]",,Ground Pass,,30.731255,,,,Mohamed Abdelmonem,69563.0,,,,,,,1,From Kick Off,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Center Back,2,Egypt,774,['582fca4f-531a-4139-977f-084d71a02303'],31,,,,,,,,,,,,,,,,,Egypt,774,00:00:31.856,Pass,
,,,,,,,,,,,,,,,,,,1.511116,,,,,,,,,,,,,deab32f4-bfd6-4888-aac7-9ec667db14c0,38,,"[33.2, 22.2]",3920385,0,,,,-0.9119903,,Left Foot,,"[45.2, 6.7]",,Ground Pass,,19.602295,,,,Mohamed Hamdy Sharaf,70835.0,,,,,,,1,From Kick Off,Mohamed Abdelmonem,69563.0,Left Center Back,2,Egypt,774,['cbeb876a-cd8e-4d31-88be-a34bca59f9d8'],35,,,,,,,,,,,,,,,,,Egypt,774,00:00:35.427,Pass,
,,,,,,,,,,,,,,,,,,0.861732,,,,,,,,,,,,,88de94cb-78da-48d1-ac9a-f189d7e18e76,41,,"[50.0, 8.0]",3920385,0,,,,0.7695265,,Right Foot,,"[59.6, 17.3]",,Ground Pass,,13.366002,,,,Mostafa Mohamed Ahmed Abdallah,66886.0,,,,,,,1,From Kick Off,Mohamed Hamdy Sharaf,70835.0,Left Back,2,Egypt,774,['5bef6499-07ae-4d2b-a38d-e48872e08ec7'],41,,,,,,,,,,,,,,,,,Egypt,774,00:00:41.054,Pass,
,,,,,,,,,,,,,,,,,,1.494104,,,,,,,,,,,,,4cc6729b-b1a8-4a09-93da-ec3e2943899e,43,,"[58.5, 17.3]",3920385,0,,,,2.8940856,,Right Foot,,"[39.9, 22.0]",,Ground Pass,,19.18463,,,,Mohamed Abdelmonem,69563.0,,,,,,,1,From Kick Off,Mostafa Mohamed Ahmed Abdallah,66886.0,Center Forward,2,Egypt,774,['452680da-3ca5-47c2-92b9-cfe51e45f823'],41,,,,,,,,,,,,,,,,,Egypt,774,00:00:41.916,Pass,
,,,,,,,,,,,,,,,,,,2.25479,,,,,,,,,,,,,35700f0d-74c5-4793-b8fd-ae51ac518bcc,46,,"[38.1, 25.2]",3920385,0,,,,1.4239732,,Right Foot,,"[42.3, 53.6]",,Ground Pass,,28.708883,,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,,,,1,From Kick Off,Mohamed Abdelmonem,69563.0,Left Center Back,2,Egypt,774,['9c5c7033-7a19-4079-8a01-75a27b958e08'],44,,,,,,,,,,,,,,,,,Egypt,774,00:00:44.544,Pass,
,,,,,,,,,,,,,,,,,,2.052133,,,,,,,,,,,,,454951b6-1e3c-4b8e-8a59-fe712cb7f10d,49,,"[42.3, 62.6]",3920385,0,,,,-0.4918092,,Right Foot,,"[73.1, 46.1]",,High Pass,,34.941235,,Incomplete,,Mohamed Salah,3531.0,,,,,,,1,From Kick Off,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Center Back,2,Egypt,774,"['4773b280-73b9-4086-85ba-a7f042c54a90', 'fc10caef-1d12-4b81-aca2-57ec7db4d051']",48,,,,,,,,,,,,,,,,,Egypt,774,00:00:48.672,Pass,
,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,3676a776-bb58-44ea-b45a-b4cbe9417d2b,58,,"[42.8, 77.3]",3920385,1,,,,-2.9696949,,Left Foot,,"[28.4, 74.8]",,Ground Pass,,14.615403,,,,Domingos João Macandza,389641.0,,,,,,,1,Regular Play,Witiness Chimoio João Quembo,10865.0,Right Midfield,3,Mozambique,4978,['9f571199-a718-4695-b81e-0effa4b78e90'],0,,,,,,,,,,,,,,,,,Mozambique,4978,00:01:00.298,Pass,
,,,,,,,,,,,,,,,,,,1.122213,,,,,,,,,,,,,111f70d2-05f3-4b7e-88dd-cb37b006daf7,61,,"[28.4, 74.8]",3920385,1,,,,-2.263603,,Right Foot,,"[15.7, 59.5]",,Ground Pass,,19.884165,,,,Edson André Sitoe,3250.0,,,,,,,1,Regular Play,Domingos João Macandza,389641.0,Right Back,3,Mozambique,4978,['b9cbf217-61be-4c34-af90-2515060109de'],2,,,,,,,,,,,,,,,,,Mozambique,4978,00:01:02.818,Pass,
,,,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,f352101e-c7fe-4b92-a553-f683636a6f27,65,,"[14.5, 58.7]",3920385,1,,,,-2.0285733,,Right Foot,,"[4.4, 38.2]",,Ground Pass,,22.853008,,,,Ernan Alberto Siluane,136064.0,,,,,,,1,Regular Play,Edson André Sitoe,3250.0,Right Center Back,3,Mozambique,4978,['32f4031d-0fa1-4ffe-b660-88c8c708f0ef'],5,,,,,,,,,,,,,,,,,Mozambique,4978,00:01:05.061,Pass,
,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,644cf59c-bc30-4d78-a196-f911c912162b,68,,"[4.9, 36.2]",3920385,1,,,,-1.2120256,,Right Foot,,"[14.5, 10.6]",,Ground Pass,,27.340813,,,,Edmilson Gabriel Dove,65742.0,,,,,,,1,Regular Play,Ernan Alberto Siluane,136064.0,Goalkeeper,3,Mozambique,4978,['449be96e-1fc9-463e-b6a9-f8109054e05f'],8,,,,,,,,,,,,,,,,,Mozambique,4978,00:01:08.461,Pass,
,,,,,,,,,,,,,,,,,,1.886097,,,,,,,,,,,,,3aeb29d8-0aba-4f13-acf4-c71de41dc984,71,,"[5.6, 7.7]",3920385,1,,,,0.473126,,Left Foot,,"[47.6, 29.2]",,High Pass,,47.183155,,Incomplete,,Stanley Ratifo,127547.0,,,,,,,1,Regular Play,Edmilson Gabriel Dove,65742.0,Left Center Back,3,Mozambique,4978,"['78eef0bb-8481-46d2-93fc-9ee0f3a59e9b', 'b6f4b461-093d-4dd7-be03-bb7f9c2a7b94']",14,,,,,,,,,,,,,,,,,Mozambique,4978,00:01:14.261,Pass,
,,,,,,,,,,,,,,,,,,1.632009,,,,,,,,,,,,,50fd605f-1718-4366-b644-3318c2b2e898,75,,"[71.4, 49.6]",3920385,1,,,,-1.0823447,,Left Foot,,"[82.4, 28.9]",,Ground Pass,,23.441202,,,,Mahmoud Ibrahim Hassan,5261.0,,,,,,,1,Regular Play,Mohamed Naser Elsayed Elneny,3568.0,Right Defensive Midfield,4,Egypt,774,['19b381c8-1531-41d4-9e86-1aeb722a2737'],17,,,,,,,,,,,,,,,,,Egypt,774,00:01:17.294,Pass,
,,,,,,,,,,,,,,,,,,1.501161,,,,,,,,,,,,,a6ac8d4a-1e53-458b-931f-51a30151c1d1,79,,"[83.5, 26.3]",3920385,1,,,,-1.8670747,,Right Foot,,"[77.7, 7.3]",,Ground Pass,,19.865547,,,,Mohamed Hamdy Sharaf,70835.0,,,,,,,1,Regular Play,Mahmoud Ibrahim Hassan,5261.0,Left Wing,4,Egypt,774,"['d8286570-42a0-4ad6-8fb2-a986005fc7ef', '05258d64-0437-4e2b-92aa-cc347d437a6f']",19,,,,,,,,,,,,,,,,,Egypt,774,00:01:19.683,Pass,True
,,,,,,,,,,,,,,,,,,1.907475,,,,,,,,,,,,,9b34bdd2-59a2-49ba-87da-f6bf622a4dba,82,,"[83.3, 8.7]",3920385,1,,,,0.28819,,Left Foot,,"[108.6, 16.2]",,Ground Pass,,26.388254,,,,Mahmoud Ibrahim Hassan,5261.0,,,,,,,1,Regular Play,Mohamed Hamdy Sharaf,70835.0,Left Back,4,Egypt,774,['a58db371-62e0-4fdc-8882-59bc18b9c355'],22,,,,,,,,,,,,,,,,,Egypt,774,00:01:22.835,Pass,
