50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dfe0b8cb-f4c5-41b0-a4ed-17302d90417c,1,,,,3920386,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 358410, 'name': 'Stanley Bobo Nwabali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 11492, 'name': 'Temitayo Olufisayo Olaoluwa Aina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3923, 'name': 'Oluwasemilogo Adesewo Ibidapo Ajayi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 31949, 'name': 'Zaidu Sanusi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24467, 'name': 'Frank Onyeka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 18163, 'name': 'Moses Daddy-Ajala Simon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 27434, 'name': 'Alhassan Yusuf'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3447, 'name': 'Ademola Lookman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 11277, 'name': 'Victor James Osimhen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Nigeria,775,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,44ba29e4-424d-45a4-b63f-38fe1405834f,2,,,,3920386,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 105765, 'name': 'Jesús Lázaro Owono Ngua Akeng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 17618, 'name': 'Carlos Akapo Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 482851, 'name': 'Esteban Orozco Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 52324, 'name': 'Saúl Basilio Coco-Bassey Oubiña'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 105764, 'name': 'Basilio Ndong Owono Nchamaaa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 34845, 'name': 'Federico Bikoro Akieme Nchama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 105942, 'name': 'Pablo Ganet Cómitre'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 30423, 'name': 'Ibán Salvador Edu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 6}, {'player': {'id': 23559, 'name': 'José Ndong Machín Dicombo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40128, 'name': 'Jannick Buyla Sam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 13581, 'name': 'Emilio Nsue López'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Equatorial Guinea,4992,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e377c7c3-cec8-42cf-a63d-bbeb3c1de03d,3,,,,3920386,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,['1edb2589-8bf5-4bcd-b74a-704c90c30db9'],0,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1edb2589-8bf5-4bcd-b74a-704c90c30db9,4,,,,3920386,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,['e377c7c3-cec8-42cf-a63d-bbeb3c1de03d'],0,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d6f19be8-da29-4e9b-8096-abdd9c0c0594,1409,,,,3920386,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Equatorial Guinea,4992,['ac183aaf-b79c-451a-a43c-fabdd0244b31'],0,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ac183aaf-b79c-451a-a43c-fabdd0244b31,1410,,,,3920386,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Equatorial Guinea,4992,['d6f19be8-da29-4e9b-8096-abdd9c0c0594'],0,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.815945,,,,,,,,,,,,,,531fb058-10bb-4da4-97bb-5912a90d4163,5,,,"[61.0, 40.1]",3920386,0,,,,,-2.6602905,,Right Foot,,,,"[36.3, 27.2]",,Ground Pass,27.86575,,,,,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,,,,,Kick Off,1,From Kick Off,Alex Iwobi,3647.0,Left Center Midfield,2,Nigeria,775,['7efb16d5-2952-4d7e-9909-7f0435b5f0b7'],1,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:01.011,Pass,
,,,,,,,,,,,,,,,,,,1.356881,,,,,,,,,,,,,,37232343-ccaa-43be-b95e-ed55f7fb50eb,8,,,"[35.5, 28.7]",3920386,0,,,,,1.6447353,,Left Foot,,,,"[34.3, 44.9]",,Ground Pass,16.244383,,,,,William Troost-Ekong,5455.0,,,,,,1,From Kick Off,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,Left Center Back,2,Nigeria,775,['9b209de9-d153-4472-b05b-b42748ee0a8c'],3,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:03.669,Pass,
,,,,,,,,,,,,,,,,,,3.386929,,,,,,,,,,,,,,67f5a1b2-8391-4d40-b263-0407601f6f2c,11,,,"[38.4, 45.1]",3920386,0,,,,,-0.71776325,,Right Foot,,,,"[84.9, 4.5]",,High Pass,61.730137,,,,,Victor James Osimhen,11277.0,,True,,,,1,From Kick Off,William Troost-Ekong,5455.0,Right Center Back,2,Nigeria,775,['920a62ed-f821-4b24-a719-bfc0a1a41c87'],6,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:06.833,Pass,
,,,,,,,,,,,,,,,,,,1.711385,,,,,,,,,,,,,,dccf4872-bbc7-48ea-8362-be6f817796e5,13,,,"[85.6, 3.4]",3920386,0,,,,True,0.9238509,,,,,,"[96.1, 17.3]",,High Pass,17.420103,,,Incomplete,,Frank Onyeka,24467.0,,,,,,1,From Kick Off,Victor James Osimhen,11277.0,Center Forward,2,Nigeria,775,"['d3d17934-afeb-4b45-9088-a2b846d6f595', 'd6459019-d55e-4e51-a108-0ccfddfad2b2', 'ddb82bc1-4d4c-4f6c-90ca-7306c5954861']",10,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:10.236,Pass,True
