50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,270c6bb9-ec28-4ac7-b37b-a8bb2f217f7c,1,,,,3920387,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ghana,4885,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 68757, 'name': 'Richard Ofori Antwi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12259, 'name': 'Denis Odoi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 30519, 'name': 'Mohamed Salisu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 23615, 'name': 'Gideon Mensah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 24087, 'name': 'Iddrisu Baba Mohammed'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 30693, 'name': 'Majeed Ashimeru'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 16546, 'name': 'Joseph Paintsil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 33395, 'name': 'Ransford Königsdörffer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 9286, 'name': 'Antoine Semenyo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Ghana,4885,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7877b7ec-b0fa-4d9b-99fb-a8af19e64b9e,2,,,,3920387,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ghana,4885,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 105932, 'name': 'Josimar José Évora Dias'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7197, 'name': 'Steven Moreira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 45557, 'name': 'Logan Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 36271, 'name': 'Roberto Lopes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 133038, 'name': 'João Paulo Moreira Fernandes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 132800, 'name': 'Kevin Lenini Gonçalves Pereira de Pina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 8349, 'name': 'Deroy Duarte'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 7753, 'name': 'Jamiro Gregory Monteiro Alvarenga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40485, 'name': 'Ryan Isaac Mendes da Graça'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 10598, 'name': 'Jovane Eduardo Borges Cabral'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Cape Verde Islands,4924,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b29d9555-a5d1-474f-a1d9-d0662e24c075,3,,,,3920387,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ghana,4885,['5c206cb1-ee18-4033-822b-69952a93e667'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5c206cb1-ee18-4033-822b-69952a93e667,4,,,,3920387,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ghana,4885,['b29d9555-a5d1-474f-a1d9-d0662e24c075'],0,,,,,,,,,,,,,,,,,Ghana,4885,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7cc97b15-351d-434a-8e04-302950a5c766,1591,,,,3920387,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,Cape Verde Islands,4924,['ffd6591e-77bf-4be4-9ec0-9538ed7866fc'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ffd6591e-77bf-4be4-9ec0-9538ed7866fc,1592,,,,3920387,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,Cape Verde Islands,4924,['7cc97b15-351d-434a-8e04-302950a5c766'],0,,,,,,,,,,,,,,,,,Ghana,4885,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,3.12348,,,,,,,,,,,3a2dfdcd-ab43-475b-8529-867e9d1fe51e,5,,,"[61.0, 40.1]",3920387,0,,,,-2.8534157,,Right Foot,,,"[33.0, 31.8]",,Ground Pass,,29.20428,,,,Roberto Lopes,36271.0,,,,,Kick Off,1,From Kick Off,Tiago Manuel Dias Correia,7900.0,Center Forward,2,Cape Verde Islands,4924,['4ac98a6e-d1e6-4a7b-a05f-722e867cee5a'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.753,Pass,
,,,,,,,,,,,,,,,,,2.106917,,,,,,,,,,,20b713dd-6ad8-4e3f-8f9e-fa7251145883,8,,,"[35.3, 33.3]",3920387,0,,,,0.57645833,,Right Foot,,,"[77.6, 60.8]",,High Pass,,50.453346,,,,Tiago Manuel Dias Correia,7900.0,,,,,,1,From Kick Off,Roberto Lopes,36271.0,Left Center Back,2,Cape Verde Islands,4924,['38b6b474-ba12-49b6-a73f-438a9086dbdc'],4,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:04.723,Pass,
,,,,,,,,,,,,,,,,,0.145954,,,,,,,,,,,7c933823-c856-4abc-86ca-ac0425cd8331,10,,,"[77.0, 61.3]",3920387,0,,,True,-0.43240777,,,,,"[78.3, 60.7]",,High Pass,,1.4317821,,Incomplete,,Ryan Isaac Mendes da Graça,40485.0,,,,,,1,From Kick Off,Tiago Manuel Dias Correia,7900.0,Center Forward,2,Cape Verde Islands,4924,"['929f554d-e5c7-43a7-8bba-ade61113218e', '4986b967-a1d9-4195-a92b-62a23116531e', '9e15dd1a-8c7a-4ca9-b759-af277ba1d897']",6,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:06.829,Pass,True
,,,,,,,,,,,,,,,,,1.974832,,,,,,,,,,,3bb14147-b24b-4c75-92af-f78935adf037,14,,,"[42.7, 19.2]",3920387,0,,,,1.1169523,,Right Foot,,,"[46.7, 27.4]",,High Pass,,9.123596,,Incomplete,,Ransford Königsdörffer,33395.0,,,,,Recovery,1,From Kick Off,Gideon Mensah,23615.0,Left Back,2,Cape Verde Islands,4924,"['c7e462cb-6cda-47f4-a102-3372dced12a2', 'a76c98b1-41b7-4436-b553-57a2c6f07b5d']",8,,,,,,,,,,,,,,,,,Ghana,4885,00:00:08.435,Pass,
