50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,48e5e86f-7aa8-43d5-85b0-17fb774ec225,1,,,3920389,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cameroon,2722,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 24670, 'name': 'Joseph Fabrice Ondoa Ebogo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 74588, 'name': 'Christopher Wooh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7386, 'name': 'Harold Moukoudi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 32190, 'name': 'Darlin Zidane Yongwa Ngameni'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7355, 'name': 'Olivier Michel Kemen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 10530, 'name': 'Jules Olivier Ntcham'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 189348, 'name': 'Frank Magri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Cameroon,2722,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e4d3d409-dae9-49f4-8da1-062c1b10b01e,2,,,3920389,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cameroon,2722,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 182573, 'name': 'Ibrahim Kone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 131849, 'name': 'Antoine Conte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4267, 'name': 'Mouctar Diakhaby'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7360, 'name': 'Julian Jeanvier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 132711, 'name': 'Sekou Oumar Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 35285, 'name': 'Mory Konaté'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 39073, 'name': 'Moriba Kourouma Kourouma'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 47351, 'name': 'Morgan Guilavogui'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 39559, 'name': 'Aguibou Camara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 8454, 'name': 'Mohamed Bayo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Guinea,4892,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,fd4883cd-6831-402d-8055-c88664fa2e78,3,,,3920389,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cameroon,2722,['f06da9b9-b77d-4195-a749-8d074155d09a'],0,,,,,,,,,,,,,,,,,Guinea,4892,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f06da9b9-b77d-4195-a749-8d074155d09a,4,,,3920389,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cameroon,2722,['fd4883cd-6831-402d-8055-c88664fa2e78'],0,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,72639921-178c-4199-bad5-735141cfd22b,1341,,,3920389,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,75,Guinea,4892,['5e26e128-6290-4b08-9475-a44ca7f64d76'],0,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5e26e128-6290-4b08-9475-a44ca7f64d76,1342,,,3920389,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,75,Guinea,4892,['72639921-178c-4199-bad5-735141cfd22b'],0,,,,,,,,,,,,,,,,,Guinea,4892,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.928506,,,,,,,,,,,1c67f58f-693f-43d1-aacc-8fe90c282991,5,,"[60.0, 40.0]",3920389,0,,,,,-2.674282,,Right Foot,,,,"[49.1, 34.5]",,Ground Pass,12.209013,,,,Olivier Michel Kemen,7355.0,,,,Kick Off,1,From Kick Off,Karl Brillant Toko Ekambi,3551.0,Center Forward,2,Cameroon,2722,['ddc1639f-4523-4b8f-8ce6-84b7ce15f280'],0,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.323,Pass,
,,,,,,,,,,,,,,,,,1.507469,,,,,,,,,,,4ca27709-d3b2-4314-82a1-f00a1d74d29e,8,,"[49.6, 34.6]",3920389,0,,,,,-1.9479827,,Right Foot,,,,"[39.3, 8.6]",,Ground Pass,27.965872,,,,Darlin Zidane Yongwa Ngameni,32190.0,,,,,1,From Kick Off,Olivier Michel Kemen,7355.0,Center Defensive Midfield,2,Cameroon,2722,['92057807-8c46-47c8-ac57-bdd43239ad56'],2,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:02.308,Pass,
,,,,,,,,,,,,,,,,,1.178391,,,,,,,,,,,f4ae6a3f-31cc-49db-ba84-b36965b9d7fc,11,,"[43.0, 9.6]",3920389,0,,,,,2.6117437,,Left Foot,,,,"[29.0, 17.8]",,Ground Pass,16.224672,,,,Harold Moukoudi,7386.0,,,,,1,From Kick Off,Darlin Zidane Yongwa Ngameni,32190.0,Left Back,2,Cameroon,2722,['a849ae35-8d83-4e04-8150-ca90251a1bfb'],5,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:05.655,Pass,
,,,,,,,,,,,,,,,,,1.548116,,,,,,,,,,,68a17643-d11a-4bfe-997d-f48b800a55fa,14,,"[25.4, 19.3]",3920389,0,,,,,1.4018345,,Right Foot,,,,"[31.2, 53.3]",,Ground Pass,34.491158,,,,Christopher Wooh,74588.0,,,,,1,From Kick Off,Harold Moukoudi,7386.0,Left Center Back,2,Cameroon,2722,['f6aedeea-7f22-41c8-a5b9-946ad9006dcc'],7,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:07.914,Pass,
,,,,,,,,,,,,,,,,,1.552908,,,,,,,,,,,f4ddd6f2-cf5d-46f9-99ab-1771c6ec6ed9,17,,"[37.4, 59.8]",3920389,0,,,,,-1.5240078,,Right Foot,,,,"[38.8, 29.9]",,Ground Pass,29.932758,,,,Harold Moukoudi,7386.0,,,,,1,From Kick Off,Christopher Wooh,74588.0,Right Center Back,2,Cameroon,2722,['9d6bdf3d-128d-4f12-a91f-1248745e1cc1'],11,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:11.864,Pass,
,,,,,,,,,,,,,,,,,1.648992,,,,,,,,,,,b81a414b-7927-4bc7-b061-feb0ec8d588a,20,,"[44.4, 28.5]",3920389,0,,,,,1.6528038,,Right Foot,,,,"[42.0, 57.7]",,Ground Pass,29.298464,,,,Christopher Wooh,74588.0,,,,,1,From Kick Off,Harold Moukoudi,7386.0,Left Center Back,2,Cameroon,2722,['db570c27-73e9-417e-8ba9-472f7dcb830b'],17,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:17.213,Pass,
,,,,,,,,,,,,,,,,,1.488292,,,,,,,,,,,b41f526e-dddc-4efe-ab60-3d0a61c4282c,23,,"[43.5, 58.8]",3920389,0,,,,,0.9894161,,Right Foot,,,,"[52.7, 72.8]",,Ground Pass,16.752314,,,,Jean-Charles Castelletto,7426.0,,,,,1,From Kick Off,Christopher Wooh,74588.0,Right Center Back,2,Cameroon,2722,['55279247-a4c6-40a4-9e56-cf9e9cc8acf2'],19,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:19.645,Pass,
,,,,,,,,,,,,,,,,,1.657646,,,,,,,,,,,07d4fcf4-b91f-48f6-94ef-3bf45e745cf9,26,,"[52.7, 72.8]",3920389,0,,,,,-2.6283405,,Right Foot,,,,"[36.2, 63.5]",,Ground Pass,18.940434,,,,Christopher Wooh,74588.0,,,,,1,From Kick Off,Jean-Charles Castelletto,7426.0,Right Back,2,Cameroon,2722,['1490ed3d-46db-482f-b8c1-456503ffa1c8'],22,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:22.287,Pass,
,,,,,,,,,,,,,,,,,1.940248,,,,,,,,,,,8e7bd8d3-1cbd-477f-9e72-93fa0b99fd37,29,,"[38.3, 57.7]",3920389,0,,,,,-1.3517954,,Right Foot,,,,"[45.4, 25.8]",,Ground Pass,32.680576,,,,Harold Moukoudi,7386.0,,,,,1,From Kick Off,Christopher Wooh,74588.0,Right Center Back,2,Cameroon,2722,['a67ebfb5-c6c9-4804-88e0-cb4c60630042'],25,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:25.303,Pass,
,,,,,,,,,,,,,,,,,1.378053,,,,,,,,,,,e8891d38-e62a-4759-b157-62a9f28fbf99,32,,"[45.7, 22.7]",3920389,0,,,,,-0.8422474,,Right Foot,,,,"[63.1, 3.2]",,Ground Pass,26.13446,,,,Georges-Kévin Nkoudou Mbida,3639.0,,,,,1,From Kick Off,Harold Moukoudi,7386.0,Left Center Back,2,Cameroon,2722,['bb3ef85a-e870-4e25-a6f7-81c9b2935f11'],28,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:28.389,Pass,
,,,,,,,,,,,,,,,,,2.264001,,,,,,,,,,,19a7f2d2-5798-440c-9b2a-f3ec65cf8c09,36,,"[63.6, 3.8]",3920389,0,,,,,2.6674192,,Right Foot,,,,"[44.7, 13.5]",,Ground Pass,21.243822,,,,Harold Moukoudi,7386.0,,,,,1,From Kick Off,Georges-Kévin Nkoudou Mbida,3639.0,Left Wing,2,Cameroon,2722,"['dbd90819-7fd6-45cb-8f11-8f3ed113b3f1', '534135e6-5ba8-478c-97d1-79487150facc']",32,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:32.517,Pass,True
,,,,,,,,,,,,,,,,,2.150933,,,,,,,,,,,fe715752-7873-4f6a-8cc4-caf38b8d34a4,39,,"[44.4, 16.6]",3920389,0,,,,,1.596802,,Right Foot,,,,"[43.5, 51.2]",,Ground Pass,34.611702,,,,Christopher Wooh,74588.0,,,,,1,From Kick Off,Harold Moukoudi,7386.0,Left Center Back,2,Cameroon,2722,['65c097ec-eac6-41ae-8472-dc39887a6d7d'],35,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:35.997,Pass,
,,,,,,,,,,,,,,,,,1.724712,,,,,,,,,,,8182ab6f-0f6c-440f-a671-09453a76c6bc,42,,"[44.4, 53.6]",3920389,0,,,,,-1.5707964,,Right Foot,,,,"[44.4, 27.0]",,Ground Pass,26.6,,,,Harold Moukoudi,7386.0,,,,,1,From Kick Off,Christopher Wooh,74588.0,Right Center Back,2,Cameroon,2722,['b11c6154-1765-409b-a5db-e880d6c20b41'],40,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:40.246,Pass,
,,,,,,,,,,,,,,,,,1.269642,,,,,,,,,,,c0203d17-b963-4053-8103-95950b211eef,46,,"[45.9, 24.9]",3920389,0,,,,,-1.2704328,,Right Foot,,,,"[52.9, 2.3]",,Ground Pass,23.659248,,,,Darlin Zidane Yongwa Ngameni,32190.0,,,,,1,From Kick Off,Harold Moukoudi,7386.0,Left Center Back,2,Cameroon,2722,['fac1329b-4ecd-4777-9cbc-ab9f1bf17f35'],42,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:42.667,Pass,
