50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4f79b63b-2050-4739-935e-684c145aac9a,1,,,3920391,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mali,4930,,0,,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 102992, 'name': 'Djigui Diarra'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 23331, 'name': 'Boubakar Kouyate'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7295, 'name': 'Sikou Niakate'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 12557, 'name': 'Falaye Sacko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4385, 'name': 'Yves Bissouma'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 67714, 'name': 'Aliou Dieng'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8774, 'name': 'Amadou Haïdara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 162132, 'name': 'Kamory Doumbia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 23623, 'name': 'Sekou Koita'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 105182, 'name': 'Lassine Sinayoko'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",Mali,4930,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a71a9731-6d5d-414e-9d1e-4c1122008e44,2,,,3920391,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mali,4930,,0,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 66721, 'name': 'Ronwen Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 65719, 'name': 'Khuliso Johnson Mudau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 102722, 'name': 'Siyanda Xulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 65732, 'name': 'Mothobi Mvala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 65733, 'name': 'Aubrey Maphosa Modiba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 66716, 'name': 'Teboho Mokoena'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 42527, 'name': ""Sphephelo S''Miso Sithole""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 29367, 'name': 'Percy Tau'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 202037, 'name': 'Thapelo Maseko'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 65726, 'name': 'Themba Zwane'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 65853, 'name': 'Evidence Makgopa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",South Africa,4976,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2c97bc31-4fe7-424f-9e98-ce7d3b717ad6,3,,,3920391,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mali,4930,['feb2dddd-86d5-4ec8-9546-bab7696ec0b3'],0,,,,,,,,,,,,,,,,,,,,Mali,4930,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,feb2dddd-86d5-4ec8-9546-bab7696ec0b3,4,,,3920391,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mali,4930,['2c97bc31-4fe7-424f-9e98-ce7d3b717ad6'],0,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b840184b-857c-4307-bd32-6f41c5fee702,1821,,,3920391,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,87,South Africa,4976,['3793781d-0297-4902-b07c-17482dc9b53a'],0,,,,,,,,,,,,,,,,,,,,Mali,4930,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3793781d-0297-4902-b07c-17482dc9b53a,1822,,,3920391,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,87,South Africa,4976,['b840184b-857c-4307-bd32-6f41c5fee702'],0,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.801305,,,,,,,,,,,,,,79f2b856-3c44-4087-a923-84990d7a56b6,5,,"[60.0, 40.0]",3920391,0,,,,,2.9971511,,Left Foot,,,,"[49.0, 41.6]",,Ground Pass,,11.115754,,,,Yves Bissouma,4385.0,,,,,Kick Off,1,From Kick Off,Sekou Koita,23623.0,Right Center Forward,2,Mali,4930,['138dfb67-b556-4255-89fe-68dc2064bc74'],1,,,,,,,,,,,,,,,,,,,,Mali,4930,00:00:01.129,Pass,
,,,,,,,,,,,,,,,,,,2.062206,,,,,,,,,,,,,,4c4ca03a-88fa-4372-98da-f8b7d37bee54,8,,"[47.5, 39.7]",3920391,0,,,,,-1.950621,,Right Foot,,,,"[37.4, 14.4]",,Ground Pass,,27.241512,,,,Falaye Sacko,12557.0,,,,,,1,From Kick Off,Yves Bissouma,4385.0,Center Defensive Midfield,2,Mali,4930,['ba9d0dbc-9590-4af0-ae47-fef88b55ebce'],2,,,,,,,,,,,,,,,,,,,,Mali,4930,00:00:02.872,Pass,
,,,,,,,,,,,,,,,,,,1.318346,,,,,,,,,,,,,,19d0642d-9b1a-48b4-bc3c-90854e639326,11,,"[36.6, 14.6]",3920391,0,,,,,2.4063807,,Right Foot,,,,"[25.1, 25.0]",,Ground Pass,,15.50516,,,,Sikou Niakate,7295.0,,,,,,1,From Kick Off,Falaye Sacko,12557.0,Left Back,2,Mali,4930,['145fb8cf-050d-471b-aceb-b3eca08caf69'],5,,,,,,,,,,,,,,,,,,,,Mali,4930,00:00:05.955,Pass,
,,,,,,,,,,,,,,,,,,1.73218,,,,,,,,,,,,,,35e08f6d-30a1-40f2-8d5c-a78cd765d633,14,,"[32.1, 32.2]",3920391,0,,,,,1.4978491,,Left Foot,,,,"[34.0, 58.2]",,Ground Pass,,26.06933,,,,Boubakar Kouyate,23331.0,,,,,,1,From Kick Off,Sikou Niakate,7295.0,Left Center Back,2,Mali,4930,['3c8cb1f1-ad2b-4ca8-a42e-9e86ce4d9fd9'],11,,,,,,,,,,,,,,,,,,,,Mali,4930,00:00:11.528,Pass,
