50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,e288c6ba-6d98-4782-85b9-8a7686a9980a,1,,,,3920393,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 136296, 'name': 'Bechir Ben Said'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 105944, 'name': 'Wajdi Kechrida'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 32450, 'name': 'Montassar Omar Talbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5647, 'name': 'Ali Maâloul'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 35592, 'name': 'Anis Ben Slimane'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 102816, 'name': 'Mohamed Ali Ben Romdhane'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 132461, 'name': 'Mohamed Elias Achouri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 23910, 'name': 'Youssef Msakni'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 128793, 'name': 'Taha Yassine Khenissi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Tunisia,777,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,d583c855-bd2b-4c7f-90fb-e503ae3bd142,2,,,,3920393,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 125324, 'name': 'Lloyd Junior Kazapua'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4218, 'name': 'Ryan Nyambe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 264381, 'name': 'Kennedy Amutenya'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 135004, 'name': 'Lubeni Haukongo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 65555, 'name': 'Riaan Hanamub'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 136406, 'name': 'Aprocious Petrus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 103804, 'name': 'Absalom Iimbondi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 125333, 'name': 'Petrus Shitembi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 103803, 'name': 'Prins Menelik Tjiueza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 64612, 'name': 'Deon Hotto Kavendji'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 65723, 'name': 'Peter Shalulile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Namibia,4980,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5ea9a159-4e9a-49e6-b4aa-11b91d65ae86,3,,,,3920393,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['5b97bee0-e977-45e9-93ee-a9023ed3c0b6'],0,,,,,,,,,,,,,,,,,Namibia,4980,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5b97bee0-e977-45e9-93ee-a9023ed3c0b6,4,,,,3920393,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['5ea9a159-4e9a-49e6-b4aa-11b91d65ae86'],0,,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,06fa50db-c005-42aa-8f09-b93af9410415,1536,,,,3920393,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Namibia,4980,['bc20100a-530d-45f2-9dbf-982241910815'],0,,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,bc20100a-530d-45f2-9dbf-982241910815,1537,,,,3920393,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Namibia,4980,['06fa50db-c005-42aa-8f09-b93af9410415'],0,,,,,,,,,,,,,,,,,Namibia,4980,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.908379,,,,,,,,,b1902328-9ffc-4415-903d-b9b53f0841d8,5,,,"[61.0, 40.1]",3920393,0,,,,1.5707964,,Right Foot,,,"[61.0, 42.6]",,Ground Pass,,2.5,,,,,Lubeni Haukongo,135004.0,,,,,Kick Off,1,From Kick Off,Prins Menelik Tjiueza,103803.0,Left Center Midfield,2,Namibia,4980,['32c385e8-acad-4ea8-881a-bbf2fe4931ff'],0,,,,,,,,,,,,,,,,,Namibia,4980,00:00:00.645,Pass,
,,,,,,,,,,,,,,,,,,,3.321751,,,,,,,,,285d4390-5b2b-488e-ad50-86d981c524ab,9,,,"[39.0, 33.3]",3920393,0,,,,0.51219875,,Left Foot,,,"[88.8, 61.3]",,High Pass,,57.13178,,,Incomplete,,Peter Shalulile,65723.0,,,,,,1,From Kick Off,Lubeni Haukongo,135004.0,Left Center Back,2,Namibia,4980,"['c703ed8c-dd77-4c70-bb84-a38b4fba2389', '493985d8-7380-4170-9216-588d56ad0cab', 'd040caa8-0aac-4204-9358-0f0171ac487f']",3,,,,,,,,,,,,,,,,,Namibia,4980,00:00:03.765,Pass,True
,,,,,,,,,,,,,,,,,,,1.670337,,,,,,,,,f11e5b89-f0c3-4ce5-b042-e3a95383a134,13,,,"[49.5, 80.0]",3920393,0,,,,-2.8038576,,,,,"[32.7, 74.1]",,Low Pass,,17.805899,,,,,Kennedy Amutenya,264381.0,,,,,Throw-in,1,From Throw In,Ryan Nyambe,4218.0,Right Back,3,Namibia,4980,['a2a59637-ba1a-43a4-abd6-429635c632b9'],17,,,,,,,,,,,,,,,,,Namibia,4980,00:00:17.145,Pass,
,,,,,,,,,,,,,,,,,,,1.958764,,,,,,,,,ddbdc5b2-7f60-4097-971b-d9a0b1695039,16,,,"[32.7, 74.1]",3920393,0,,,,-1.8934668,,Right Foot,,,"[21.8, 41.5]",,Ground Pass,,34.373974,,,,,Lubeni Haukongo,135004.0,,,,,,1,From Throw In,Kennedy Amutenya,264381.0,Right Center Back,3,Namibia,4980,['3b1b00f6-d8fe-4985-ae89-d061918b7acc'],21,,,,,,,,,,,,,,,,,Namibia,4980,00:00:21.667,Pass,
