50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,71efea50-97c1-410a-8037-532b87a9ead0,1,,,,3920394,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6785, 'name': 'Yassine Bounou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 12149, 'name': 'Nayef Aguerd'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 143165, 'name': 'Mohamed Chibi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 5234, 'name': 'Sofyan Amrabat'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5237, 'name': 'Hakim Ziyech'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 46258, 'name': 'Azzedine Ounahi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 23774, 'name': 'Selim Amallah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 149714, 'name': 'Abdessamad Ezzalzouli'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 6301, 'name': 'Youssef En-Nesyri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Morocco,788,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b24af72e-23d9-4919-a978-d4067e2e736e,2,,,,3920394,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 103262, 'name': 'Aishi Manula'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 51494, 'name': 'Haji Mnoga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 103269, 'name': 'Bakari Nondo Mwamnyeto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 389092, 'name': 'Ibrahim Abdallah Hamad'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 105766, 'name': 'Mohamed Hussein Mohamed'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 86067, 'name': 'Himid Mao Mkami'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 136057, 'name': 'Mudathiri Yahya'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 136055, 'name': 'Novatus Dismas Miroshi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 16548, 'name': 'Mbwana Ally Samatta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 19426, 'name': 'Tarryn Allarakhia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 80307, 'name': ""Charles M'Mombwa""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Tanzania,4953,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b248591d-1c4a-434e-be02-b7c9fe670a41,3,,,,3920394,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,['315ae3f7-176e-4ff7-97c8-14d364c1385a'],0,,,,,,,,,,,,,,,,Tanzania,4953,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,315ae3f7-176e-4ff7-97c8-14d364c1385a,4,,,,3920394,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,['b248591d-1c4a-434e-be02-b7c9fe670a41'],0,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d72a3fe5-52b0-49ff-807c-4691732d0e9f,1815,,,,3920394,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Tanzania,4953,['3bfc1450-22ab-4ecf-9b5f-6551acfd7cb3'],0,,,,,,,,,,,,,,,,Tanzania,4953,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3bfc1450-22ab-4ecf-9b5f-6551acfd7cb3,1816,,,,3920394,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Tanzania,4953,['d72a3fe5-52b0-49ff-807c-4691732d0e9f'],0,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.10546,,,,,,,,,,,d12c7acd-2e74-4c55-9d88-6b7155e4df06,5,,,"[60.0, 40.0]",3920394,0,,,,,3.1061046,,Left Foot,,,"[43.1, 40.6]",,Ground Pass,,16.910648,,,,Sofyan Amrabat,5234.0,,,,Kick Off,1,From Kick Off,Youssef En-Nesyri,6301.0,Center Forward,2,Morocco,788,['b48ec887-bacd-4708-be73-616fd5007787'],2,,,,,,,,,,,,,,,,Morocco,788,00:00:02.297,Pass,
,,,,,,,,,,,,,,,,,1.172262,,,,,,,,,,,aed40a9e-aa87-45b3-a1d0-736b131b063e,8,,,"[47.7, 42.6]",3920394,0,,,,,1.2242575,,Right Foot,,,"[50.3, 49.8]",,Ground Pass,,7.6550636,,,,Azzedine Ounahi,46258.0,,,,,1,From Kick Off,Sofyan Amrabat,5234.0,Center Defensive Midfield,2,Morocco,788,['d9e4a32a-33ad-4821-8ba6-e3418aa48970'],5,,,,,,,,,,,,,,,,Morocco,788,00:00:05.532,Pass,
,,,,,,,,,,,,,,,,,1.251614,,,,,,,,,,,a1bd2f81-a21e-4b2b-b21c-3f34b42918b7,11,,,"[51.1, 55.0]",3920394,0,,,,,1.2137302,,Right Foot,,,"[58.3, 74.3]",,Ground Pass,,20.599272,,,,Hakim Ziyech,5237.0,,,,,1,From Kick Off,Azzedine Ounahi,46258.0,Right Center Midfield,2,Morocco,788,['cdfce00a-112b-4366-b925-6dde26b87000'],8,,,,,,,,,,,,,,,,Morocco,788,00:00:08.050,Pass,
,,,,,,,,,,,,,,,,,1.118431,,,,,,,,,,,c8a06c4e-283c-40d1-8892-f121466dccdb,14,,,"[58.3, 74.3]",3920394,0,,,,,-2.902505,,Left Foot,,,"[42.3, 70.4]",,Ground Pass,,16.468454,,,,Achraf Hakimi Mouh,5245.0,,,,,1,From Kick Off,Hakim Ziyech,5237.0,Right Midfield,2,Morocco,788,['d133a9cf-6f2a-439a-b798-4d0baf64d808'],10,,,,,,,,,,,,,,,,Morocco,788,00:00:10.179,Pass,
