50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cd1ce802-59a5-4081-b66f-a0ce672eb6d1,1,,,,3920395,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Congo DR,4881,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 35413, 'name': 'Lionel Mpasi-Nzau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30193, 'name': 'Gedeon Kalulu Kyatengwa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 105946, 'name': 'Henoc Inonga Baka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3587, 'name': 'Arthur Masuaku'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 28415, 'name': 'Charles Pickel'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4412, 'name': 'Samuel Moutoussamy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul'Ofeko Batombo""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3130, 'name': 'Gaël Kakuta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 7294, 'name': 'Yoane Wissa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Congo DR,4881,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3f2149d7-7c4e-4c13-bc3e-22a561bacc3e,2,,,,3920395,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Congo DR,4881,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 389156, 'name': 'Tresford Lawrence Mulenga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 108291, 'name': 'Tandi Mwape'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 23203, 'name': 'Stopilla Sunzu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 47979, 'name': 'Frankie Musonda'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 68505, 'name': 'Roderick Kabwe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 151066, 'name': 'Kelvin Kapumbu'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 23420, 'name': 'Lubambo Musonda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 44402, 'name': 'Kings Kangwa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 23260, 'name': 'Emmanuel Justine Rabby Banda'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 23708, 'name': 'Fashion Sakala'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8785, 'name': 'Patson Daka'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Zambia,4963,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d3df2137-41b8-49f0-a5b4-a262487ac26d,3,,,,3920395,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Congo DR,4881,['6526775a-1684-4d9a-942f-ddedeacd6b8f'],0,,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6526775a-1684-4d9a-942f-ddedeacd6b8f,4,,,,3920395,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Congo DR,4881,['d3df2137-41b8-49f0-a5b4-a262487ac26d'],0,,,,,,,,,,,,,,,,,Zambia,4963,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e0302f36-9946-4ab1-a464-ecc9dae5201e,1650,,,,3920395,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Congo DR,4881,['2ef7d03a-6b08-4c10-9b8e-236e849f0cbb'],0,,,,,,,,,,,,,,,,,Zambia,4963,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2ef7d03a-6b08-4c10-9b8e-236e849f0cbb,1651,,,,3920395,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Congo DR,4881,['e0302f36-9946-4ab1-a464-ecc9dae5201e'],0,,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.945724,,,,,,,,,,,,d8d6effe-6d8f-43e9-82da-4f945a422a52,5,,,"[61.0, 40.1]",3920395,0,,,,,-2.8107789,,Right Foot,,,,"[51.1, 36.7]",,Ground Pass,,10.467569,,,,Emmanuel Justine Rabby Banda,23260.0,,,,,Kick Off,1,From Kick Off,Patson Daka,8785.0,Center Forward,2,Zambia,4963,['907c7281-1d2b-44ee-b67f-e032afa35b97'],0,,,,,,,,,,,,,,,,,Zambia,4963,00:00:00.531,Pass,
,,,,,,,,,,,,,,,,,,1.692291,,,,,,,,,,,,931f3d22-2eba-4196-8081-10f8a2797ec2,8,,,"[51.4, 34.5]",3920395,0,,,,,-1.3915561,,Left Foot,,,,"[56.6, 5.8]",,Ground Pass,,29.167276,,,,Fashion Sakala,23708.0,,,,,,1,From Kick Off,Emmanuel Justine Rabby Banda,23260.0,Left Center Midfield,2,Zambia,4963,['6ef51942-913a-486c-b568-672f45053a62'],2,,,,,,,,,,,,,,,,,Zambia,4963,00:00:02.269,Pass,
,,,,,,,,,,,,,,,,,,1.400725,,,,,,,,,,,,c88e32ce-48f4-44b8-8582-a90ee1579b85,11,,,"[56.6, 5.2]",3920395,0,,,,,3.0698206,,Right Foot,,,,"[41.3, 6.3]",,Ground Pass,,15.339492,,,,Roderick Kabwe,68505.0,,,,,,1,From Kick Off,Fashion Sakala,23708.0,Left Midfield,2,Zambia,4963,['7e109f67-56d1-402a-ba7c-a367d3808920'],5,,,,,,,,,,,,,,,,,Zambia,4963,00:00:05.504,Pass,
,,,,,,,,,,,,,,,,,,1.632431,,,,,,,,,,,,afce47da-c0a2-4645-a88d-f7107d223c9b,14,,,"[41.3, 6.6]",3920395,0,,,,,2.4688652,,Left Foot,,,,"[23.1, 21.1]",,Ground Pass,,23.269938,,,,Frankie Musonda,47979.0,,,,,,1,From Kick Off,Roderick Kabwe,68505.0,Left Back,2,Zambia,4963,['73e9aecc-30c6-4b70-92a8-0d4c6fb7072b'],7,,,,,,,,,,,,,,,,,Zambia,4963,00:00:07.931,Pass,
,,,,,,,,,,,,,,,,,,1.402404,,,,,,,,,,,,773e53bd-5bae-4706-9656-c44d51601d1f,17,,,"[22.3, 26.1]",3920395,0,,,,,1.5323538,,Right Foot,,,,"[23.3, 52.1]",,Ground Pass,,26.019224,,,,Stopilla Sunzu,23203.0,,,,,,1,From Kick Off,Frankie Musonda,47979.0,Left Center Back,2,Zambia,4963,['c4400de0-3f54-4bd1-b198-a62f3755d3a9'],11,,,,,,,,,,,,,,,,,Zambia,4963,00:00:11.094,Pass,
,,,,,,,,,,,,,,,,,,2.1155,,,,,,,,,,,,bd16b060-9085-4854-ad64-bc128ce405f9,20,,,"[23.5, 53.0]",3920395,0,,,,,-1.5475447,,Right Foot,,,,"[24.0, 31.5]",,Ground Pass,,21.505814,,,,Frankie Musonda,47979.0,,,,,,1,From Kick Off,Stopilla Sunzu,23203.0,Right Center Back,2,Zambia,4963,['caf22eef-6dc1-452a-b706-529815a63532'],14,,,,,,,,,,,,,,,,,Zambia,4963,00:00:14.165,Pass,
,,,,,,,,,,,,,,,,,,1.22192,,,,,,,,,,,,65a35a2d-ae1a-428c-a78d-7f5ca29120ad,23,,,"[29.1, 29.9]",3920395,0,,,,,1.5206293,,Right Foot,,,,"[30.3, 53.8]",,Ground Pass,,23.930107,,,,Stopilla Sunzu,23203.0,,,,,,1,From Kick Off,Frankie Musonda,47979.0,Left Center Back,2,Zambia,4963,['e507bf9d-a9b1-44a2-ba15-75ad3c179cac'],18,,,,,,,,,,,,,,,,,Zambia,4963,00:00:18.955,Pass,
,,,,,,,,,,,,,,,,,,2.20995,,,,,,,,,,,,407fb4e0-3bfb-465f-b619-35ee42a145a1,26,,,"[30.1, 54.2]",3920395,0,,,,,-1.5304142,,Right Foot,,,,"[31.3, 24.5]",,Ground Pass,,29.724232,,,,Frankie Musonda,47979.0,,,,,,1,From Kick Off,Stopilla Sunzu,23203.0,Right Center Back,2,Zambia,4963,['4f3612c7-f50a-4546-8c39-37b60e4d06ea'],23,,,,,,,,,,,,,,,,,Zambia,4963,00:00:23.347,Pass,
,,,,,,,,,,,,,,,,,,1.418209,,,,,,,,,,,,9e9a3344-6ec8-4c0a-bcfb-6627c55a4e45,29,,,"[39.4, 17.5]",3920395,0,,,,,-1.8622531,,Right Foot,,,,"[35.8, 5.5]",,Ground Pass,,12.528368,,,,Roderick Kabwe,68505.0,,,,,,1,From Kick Off,Frankie Musonda,47979.0,Left Center Back,2,Zambia,4963,['73bed0ad-5412-4f36-8ea2-5b25bb1dbd2f'],27,,,,,,,,,,,,,,,,,Zambia,4963,00:00:27.398,Pass,
,,,,,,,,,,,,,,,,,,1.516175,,,,,,,,,,,,0298a9fe-50fa-461a-9110-f5ad52d5dbcd,32,,,"[36.8, 5.3]",3920395,0,,,,,-0.050462175,,Left Foot,,,,"[56.6, 4.3]",,Low Pass,,19.825237,,,,Fashion Sakala,23708.0,,,,,,1,From Kick Off,Roderick Kabwe,68505.0,Left Back,2,Zambia,4963,['bc816d6a-9b7e-434d-9e3e-47f834d42e2f'],31,,,,,,,,,,,,,,,,,Zambia,4963,00:00:31.201,Pass,
,,,,,,,,,,,,,,,,,,1.366254,,,,,,,,,,,,050c5cac-2998-4b52-8461-d715c05f5974,42,,,"[5.5, 45.8]",3920395,0,,True,,,0.38878775,,Right Foot,,,,"[22.1, 52.6]",,Ground Pass,,17.938786,,,,Chancel Mbemba Mangulu,3044.0,,,,,Goal Kick,1,From Goal Kick,Lionel Mpasi-Nzau,35413.0,Goalkeeper,3,Congo DR,4881,['e1c53ec3-9bef-499f-8a8c-6a1f37da1118'],59,,,,,,,,,,,,,,,,,Congo DR,4881,00:00:59.688,Pass,
,,,,,,,,,,,,,,,,,,1.885344,,,,,,,,,,,,229d3fb7-ae58-4bec-ba75-9c1d7f53b824,44,,,"[25.2, 54.3]",3920395,1,,,,,-2.077895,,Right Foot,,,,"[16.2, 38.1]",,Ground Pass,,18.532135,,,,Lionel Mpasi-Nzau,35413.0,,,,,,1,From Goal Kick,Chancel Mbemba Mangulu,3044.0,Right Center Back,3,Congo DR,4881,['e6e082ca-5460-4c5c-bca0-873987d1b2c3'],2,,,,,,,,,,,,,,,,,Congo DR,4881,00:01:02.109,Pass,
