50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2eb8f0dc-ca4a-4ced-85be-4478e28925e8,1,,,3920397,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Equatorial Guinea,4992,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 105765, 'name': 'Jesús Lázaro Owono Ngua Akeng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 17618, 'name': 'Carlos Akapo Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 482851, 'name': 'Esteban Orozco Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 52324, 'name': 'Saúl Basilio Coco-Bassey Oubiña'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 105764, 'name': 'Basilio Ndong Owono Nchamaaa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 34845, 'name': 'Federico Bikoro Akieme Nchama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 105942, 'name': 'Pablo Ganet Cómitre'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 30423, 'name': 'Ibán Salvador Edu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 6}, {'player': {'id': 23559, 'name': 'José Ndong Machín Dicombo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 105762, 'name': 'José Antonio Miranda Boacho'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 13581, 'name': 'Emilio Nsue López'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Equatorial Guinea,4992,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,44557e52-652b-439a-9616-cab0ff874f01,2,,,3920397,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Equatorial Guinea,4992,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 36552, 'name': 'Ouparine Djoco'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 32433, 'name': 'Jefferson Anilson Silva Encada'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 25056, 'name': 'Marcelo Amado Djaló Taritolay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 30104, 'name': 'Manconi Soriano Mané'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 41052, 'name': 'Fali Candé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 36813, 'name': 'Janio Bikel Figueiredo Silva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10323, 'name': 'Alfa Semedo Esteves'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24909, 'name': 'Moreto Moro Cassamã'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 43007, 'name': 'Mauro Daniel Rodrigues Teixeira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 12064, 'name': 'Mama Samba Baldé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 143863, 'name': 'Franculino Gluda Djú'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 3}]}",Guinea-Bissau,4894,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,7ba35d39-48ed-45af-a7b6-79a001c65f63,3,,,3920397,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Equatorial Guinea,4992,['cc22eebb-803a-4d79-99b6-11dd55c07356'],0,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,cc22eebb-803a-4d79-99b6-11dd55c07356,4,,,3920397,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Equatorial Guinea,4992,['7ba35d39-48ed-45af-a7b6-79a001c65f63'],0,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,a01a67ad-312e-48ad-a718-0902b9f03e6e,1442,,,3920397,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Guinea-Bissau,4894,['a4e012dd-4140-418c-9d4b-fd9c111196d2'],0,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,a4e012dd-4140-418c-9d4b-fd9c111196d2,1443,,,3920397,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Guinea-Bissau,4894,['a01a67ad-312e-48ad-a718-0902b9f03e6e'],0,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.883726,,,,,,,,,c1115fa5-7231-4af8-9642-09d43419c3d6,5,,"[61.0, 40.1]",3920397,0,,,,3.125721,,Left Foot,,,"[48.4, 40.3]",,Ground Pass,,12.601587,,,,Moreto Moro Cassamã,24909.0,,,,,Kick Off,1,From Kick Off,Franculino Gluda Djú,143863.0,Center Forward,2,Guinea-Bissau,4894,['32b8b0f6-35e2-4cc6-8657-456243347f32'],0,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:00.264,Pass,
,,,,,,,,,,,,,,,,,,0.928616,,,,,,,,,f8bdc3b4-4a7b-4ef3-992a-0e78441cbc57,9,,"[51.5, 39.5]",3920397,0,,,,2.0640962,,Right Foot,,,"[46.5, 48.8]",,Ground Pass,,10.558883,,,,Alfa Semedo Esteves,10323.0,,,,,,1,From Kick Off,Moreto Moro Cassamã,24909.0,Left Center Midfield,2,Guinea-Bissau,4894,"['f65ba800-0511-4d63-8946-96dac6196fb3', '2078e34f-2b80-4057-91e2-791f790ce1af']",2,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:02.793,Pass,True
,,,,,,,,,,,,,,,,,,1.390339,,,,,,,,,1b4689d0-f4f4-42ed-93f9-2b9cf8d897fa,12,,"[45.9, 52.0]",3920397,0,,,,1.7198962,,Right Foot,,,"[42.4, 75.3]",,Ground Pass,,23.561409,,,,Jefferson Anilson Silva Encada,32433.0,,,,,,1,From Kick Off,Alfa Semedo Esteves,10323.0,Right Center Midfield,2,Guinea-Bissau,4894,['b758c4b1-1590-4297-bdda-e016db3d7a3f'],4,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:04.801,Pass,
,,,,,,,,,,,,,,,,,,1.451978,,,,,,,,,688fbcbc-6b9a-4ceb-ac39-c1d0ef248aca,15,,"[42.4, 75.3]",3920397,0,,,,-2.3702781,,Right Foot,,,"[28.0, 61.3]",,Ground Pass,,20.083824,,,,Marcelo Amado Djaló Taritolay,25056.0,,,,,,1,From Kick Off,Jefferson Anilson Silva Encada,32433.0,Right Back,2,Guinea-Bissau,4894,['580ee8f4-d933-4584-8aae-247a90ed4067'],6,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:06.571,Pass,
