50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,56403b75-69af-4578-99de-e76d4caaa284,1,,,,3920400,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7379, 'name': 'Edouard Mendy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 20758, 'name': 'Krépin Diatta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8553, 'name': 'Abdou Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 32915, 'name': 'Ismail Jakobs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 21026, 'name': 'Pape Gueye'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 50498, 'name': 'Pape Matar Sarr'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 392153, 'name': 'Lamine Camara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 18516, 'name': 'Habibou Mouhamadou Diallo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,31b2bbe1-803a-4d4a-83e6-0e282fc6a630,2,,,,3920400,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8064, 'name': 'André Onana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 135043, 'name': 'Enzo Gianni Tchato Mbiayi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 74588, 'name': 'Christopher Wooh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 43073, 'name': 'Yvan Neyou Noupa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 16015, 'name': 'Nicolas Moumi Ngamaleu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 3}, {'player': {'id': 7355, 'name': 'Olivier Michel Kemen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 189348, 'name': 'Frank Magri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Cameroon,2722,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ae3dc1bc-2a20-4ea4-bbf7-bcba5ce7b0aa,3,,,,3920400,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,['2a588d2c-bfec-4f9e-a3ca-74d65ef39b2c'],0,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2a588d2c-bfec-4f9e-a3ca-74d65ef39b2c,4,,,,3920400,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,['ae3dc1bc-2a20-4ea4-bbf7-bcba5ce7b0aa'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,63234b1e-43d6-4710-9ecd-ca0048330eab,1592,,,,3920400,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Cameroon,2722,['e33492d9-bcf4-4f9c-bf6d-3a620e58b1fc'],0,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e33492d9-bcf4-4f9c-bf6d-3a620e58b1fc,1593,,,,3920400,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Cameroon,2722,['63234b1e-43d6-4710-9ecd-ca0048330eab'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.086431,,,,,,,,,,44628034-0c40-4ed9-ba94-05049b01b507,5,,,"[60.0, 40.0]",3920400,0,,,,-2.9878852,,Right Foot,,,"[52.9, 38.9]",,Ground Pass,,7.184706,,,Pape Matar Sarr,50498.0,,,,,Kick Off,1,From Kick Off,Habibou Mouhamadou Diallo,18516.0,Center Forward,2,Senegal,787,['3ba1789e-b8db-489b-ace0-504000b6cc26'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.442,Pass,
,,,,,,,,,,,,,,,,,0.605494,,,,,,,,,,b3c86dab-45f0-4c62-bd4f-ee7d2e5b81b6,8,,,"[52.7, 38.6]",3920400,0,,,,-1.9272977,,Right Foot,,,"[47.3, 24.1]",,Ground Pass,,15.472879,,,Pape Gueye,21026.0,,,,,,1,From Kick Off,Pape Matar Sarr,50498.0,Right Center Midfield,2,Senegal,787,['1feafbff-c43d-407a-9ce8-a99b8d709af0'],2,,,,,,,,,,,,,,,,,,Senegal,787,00:00:02.273,Pass,
,,,,,,,,,,,,,,,,,1.519546,,,,,,,,,,fcd962f0-dac1-49d4-9c71-bd95479f4d89,11,,,"[46.9, 24.3]",3920400,0,,,,1.837317,,Right Foot,,,"[38.3, 55.8]",,Ground Pass,,32.65287,,,Kalidou Koulibaly,5675.0,,,,,,1,From Kick Off,Pape Gueye,21026.0,Center Defensive Midfield,2,Senegal,787,['036f71d2-3f55-4326-ba96-f42f0ba7e56e'],3,,,,,,,,,,,,,,,,,,Senegal,787,00:00:03.898,Pass,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,86cefb0d-1c69-47e6-8c34-6e699fd056f0,15,,,"[37.1, 55.3]",3920400,0,,,,-2.7421424,,Right Foot,,,"[8.2, 43.1]",,Ground Pass,,31.369572,,,Edouard Mendy,7379.0,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Right Center Back,2,Senegal,787,"['bd9701c3-be0f-4a62-8fa0-6bc75884fbaa', '229d18c7-aa4d-46ec-b9ab-6805a172a09d']",6,,,,,,,,,,,,,,,,,,Senegal,787,00:00:06.100,Pass,True
