50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1e7efa15-16ae-45cd-bc22-9692bc30c01c,1,,,3920403,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mauritania,4932,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 36951, 'name': 'Babacar Niasse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 264956, 'name': 'Ibrahima Keita'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 389294, 'name': 'Nouh Mohamed El Abd'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 264954, 'name': 'Lamine Ba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11923, 'name': 'Yacoub Aly Abeid'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3255, 'name': 'Guessouma Fofana'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 416907, 'name': 'Sidi Bouna Sidi Amar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 341163, 'name': 'Omaré Gassama'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 146933, 'name': 'Bodda Mouhsine'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 23892, 'name': 'Aboubakary Koita'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 45064, 'name': 'Pape Ibnou Bâ'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Mauritania,4932,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eb26f26f-6a38-4b0d-bddc-b53aa6fb2f1b,2,,,3920403,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mauritania,4932,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 135849, 'name': 'Adilson Cipriano da Cruz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 145058, 'name': 'Eddie Marcos Melo Afonso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 103208, 'name': 'Kialonda Gaspar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10573, 'name': 'Jonathan Buatu Mananga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 23873, 'name': 'Núrio Domingos Matias Fortuna'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 10844, 'name': 'Alfredo Kulembe Ribeiro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 31016, 'name': 'Manuel Luís da Silva Cafumana'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 389328, 'name': 'Deivi Miguel Vieira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 136312, 'name': 'Ambrosini Antonio Cabaça Salvador'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10577, 'name': 'Jacinto Muondo Dala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 128881, 'name': 'Cristóvão Paciência Mabululo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Angola,4901,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b9a07cfb-569c-4196-905f-cebbf94bab4d,3,,,3920403,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mauritania,4932,['b08ef40c-55dc-45fa-b522-26c3bc675f78'],0,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b08ef40c-55dc-45fa-b522-26c3bc675f78,4,,,3920403,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mauritania,4932,['b9a07cfb-569c-4196-905f-cebbf94bab4d'],0,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,244f46bf-cdd1-417a-8bd0-26fa6c72732a,1501,,,3920403,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Angola,4901,['4ae2ee98-ebea-487f-9849-a532967c5e77'],0,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ae2ee98-ebea-487f-9849-a532967c5e77,1502,,,3920403,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Angola,4901,['244f46bf-cdd1-417a-8bd0-26fa6c72732a'],0,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.300822,,,,,,,,,,,,,d341d085-d6ab-4956-aa66-69c3d57a0ce2,5,,"[61.0, 40.1]",3920403,0,,,,2.911851,,Right Foot,,,,"[48.6, 43.0]",,Ground Pass,,12.734598,,,Guessouma Fofana,3255.0,,,,,,Kick Off,1,From Kick Off,Pape Ibnou Bâ,45064.0,Center Forward,2,Mauritania,4932,['28d022cc-6d7d-4ba5-8930-0f92af74f2fa'],0,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:00.263,Pass,
,,,,,,,,,,,,,,,,,2.901993,,,,,,,,,,,,,7e49a5b6-e8a3-4e9b-b953-c894fe70c1d5,8,,"[47.8, 40.7]",3920403,0,,,,-2.619007,,Right Foot,,,,"[22.8, 26.3]",,Ground Pass,,28.85065,,,Lamine Ba,264954.0,,,,,,,1,From Kick Off,Guessouma Fofana,3255.0,Center Defensive Midfield,2,Mauritania,4932,['e1c91116-7164-45f0-bdff-017ce01b6054'],2,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:02.463,Pass,
,,,,,,,,,,,,,,,,,1.663218,,,,,,,,,,,,,a8bb7ce6-4f09-45e8-ae4e-a937ac446859,11,,"[22.6, 32.0]",3920403,0,,,,1.4106413,,Right Foot,,,,"[26.8, 58.0]",,Ground Pass,,26.337046,,,Nouh Mohamed El Abd,389294.0,,,,,,,1,From Kick Off,Lamine Ba,264954.0,Left Center Back,2,Mauritania,4932,['74383790-0e71-4a64-a0b5-ac25497d2339'],6,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:06.683,Pass,
,,,,,,,,,,,,,,,,,1.39548,,,,,,,,,,,,,ef9474ef-680e-404b-b689-e71e90660074,14,,"[25.5, 66.4]",3920403,0,,,,0.9013801,,Right Foot,,,,"[34.6, 77.9]",,Ground Pass,,14.664924,,,Ibrahima Keita,264956.0,,,,,,,1,From Kick Off,Nouh Mohamed El Abd,389294.0,Right Center Back,2,Mauritania,4932,['a66b4c24-a688-4f1d-aeb3-4756ed19d08c'],9,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:09.962,Pass,
