50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3826dd8d-2993-45f2-8393-05ea782dcca9,1,,,3920404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 136296, 'name': 'Bechir Ben Said'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 105944, 'name': 'Wajdi Kechrida'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 32450, 'name': 'Montassar Omar Talbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 30681, 'name': 'Ali Abdi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 44955, 'name': 'Aïssa Bilal Laïdouni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 50442, 'name': 'Hamza Rafia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 132461, 'name': 'Mohamed Elias Achouri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 23910, 'name': 'Youssef Msakni'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 35592, 'name': 'Anis Ben Slimane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Tunisia,777,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2033d473-340a-4613-8f0e-6a17864e98da,2,,,3920404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 102992, 'name': 'Djigui Diarra'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 23331, 'name': 'Boubakar Kouyate'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7295, 'name': 'Sikou Niakate'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 12557, 'name': 'Falaye Sacko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8759, 'name': 'Diadie Samassekou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3433, 'name': 'Lassana Coulibaly'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 8774, 'name': 'Amadou Haïdara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 162132, 'name': 'Kamory Doumbia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 105182, 'name': 'Lassine Sinayoko'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 23623, 'name': 'Sekou Koita'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Mali,4930,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0b90c478-7e13-4d2e-b9d7-e14a55993c00,3,,,3920404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['5423142c-e325-4a06-b776-6f25e43f2351'],0,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5423142c-e325-4a06-b776-6f25e43f2351,4,,,3920404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['0b90c478-7e13-4d2e-b9d7-e14a55993c00'],0,,,,,,,,,,,,,,,,Mali,4930,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,60b8deb8-22c3-492c-bc95-08a895776b28,1604,,,3920404,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,74,Tunisia,777,['ca1952b1-87b9-41f0-a77f-c878483a4290'],0,,,,,,,,,,,,,,,,Mali,4930,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ca1952b1-87b9-41f0-a77f-c878483a4290,1605,,,3920404,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,74,Tunisia,777,['60b8deb8-22c3-492c-bc95-08a895776b28'],0,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.093492,,,,,,,,,,,84c9d3d3-ffd9-472f-b78c-49699c823268,5,,"[61.0, 40.1]",3920404,0,,,,,2.8868344,,Right Foot,,,,"[51.4, 42.6]",,Ground Pass,,9.920181,,,Ellyes Joris Skhiri,3767.0,,,,,Kick Off,1,From Kick Off,Youssef Msakni,23910.0,Right Center Forward,2,Tunisia,777,['8d5436d7-590a-4712-9df0-82afcec34bec'],0,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.356,Pass,
,,,,,,,,,,,,,,,1.928399,,,,,,,,,,,6d9509eb-733d-4b2f-b232-1ce3ebd1e78c,8,,"[50.3, 44.8]",3920404,0,,,,,1.5131679,,Right Foot,,,,"[52.1, 76.0]",,Ground Pass,,31.25188,,,Wajdi Kechrida,105944.0,,,,,,1,From Kick Off,Ellyes Joris Skhiri,3767.0,Right Defensive Midfield,2,Tunisia,777,['70eac56c-997e-41e9-95f9-e1daeb05e6e2'],2,,,,,,,,,,,,,,,,Tunisia,777,00:00:02.319,Pass,
,,,,,,,,,,,,,,,1.439501,,,,,,,,,,,ae8f08ed-857e-4e80-9f0c-2d34a91ecb2b,12,,"[46.6, 75.4]",3920404,0,,,,,-2.7601886,,Right Foot,,,,"[27.4, 67.7]",,Ground Pass,,20.686468,,,Yassine Meriah,5651.0,,,,,,1,From Kick Off,Wajdi Kechrida,105944.0,Right Back,2,Tunisia,777,"['fcbc6fda-e249-4ec6-9364-68b10cc5a0f7', '1275724a-f62f-4aee-ab0d-8127282520a8']",5,,,,,,,,,,,,,,,,Tunisia,777,00:00:05.564,Pass,True
,,,,,,,,,,,,,,,1.686503,,,,,,,,,,,92c83d99-07dc-4429-ae7a-56ee1613e680,16,,"[19.6, 72.7]",3920404,0,,,,,0.16285089,,Right Foot,,,,"[54.9, 78.5]",,High Pass,,35.773315,Incomplete,,Hamza Rafia,50442.0,,,,,,1,From Kick Off,Yassine Meriah,5651.0,Right Center Back,2,Tunisia,777,"['111aa534-202c-4193-ba1b-52a025494b8d', '4f2d553b-0f06-4f3b-9352-5fb019ec8375', '02ae2f98-f58c-4b4f-b592-e8645b09a180']",8,,,,,,,,,,,,,,,,Tunisia,777,00:00:08.466,Pass,True
