50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,3b9a78c8-992e-435b-a081-fbb9e80c0b8b,1,,,3920406,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Zambia,4963,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 389156, 'name': 'Tresford Lawrence Mulenga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 108280, 'name': 'Benedict Chepeshi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 23203, 'name': 'Stopilla Sunzu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 47979, 'name': 'Frankie Musonda'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 68505, 'name': 'Roderick Kabwe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 151066, 'name': 'Kelvin Kapumbu'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 23708, 'name': 'Fashion Sakala'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 44402, 'name': 'Kings Kangwa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 23260, 'name': 'Emmanuel Justine Rabby Banda'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 44751, 'name': 'Lameck Banda'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 8785, 'name': 'Patson Daka'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Zambia,4963,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,46eca960-474b-4deb-b5f0-aeae1776b93a,2,,,3920406,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Zambia,4963,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 103262, 'name': 'Aishi Manula'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 51494, 'name': 'Haji Mnoga'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 103269, 'name': 'Bakari Nondo Mwamnyeto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 389092, 'name': 'Ibrahim Abdallah Hamad'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 105766, 'name': 'Mohamed Hussein Mohamed'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 86067, 'name': 'Himid Mao Mkami'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 105769, 'name': 'Mzamiru Yassin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 103270, 'name': 'Simon Happygod Msuva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 103268, 'name': 'Faisal Salum Abdalla'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 145622, 'name': 'Denis Kibu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 16548, 'name': 'Mbwana Ally Samatta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tanzania,4953,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,60325b2d-6526-47ff-a712-f2a236817b05,3,,,3920406,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Zambia,4963,['87813b67-1713-4024-9e33-59e1d0f99889'],0,,,,,,,,,,,,,,,,,Zambia,4963,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,87813b67-1713-4024-9e33-59e1d0f99889,4,,,3920406,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Zambia,4963,['60325b2d-6526-47ff-a712-f2a236817b05'],0,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,56861a27-2af6-4f79-8a43-177f72799abd,1569,,,3920406,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,76,Tanzania,4953,['addcba87-d35d-40c5-a1f8-36f673d2e318'],0,,,,,,,,,,,,,,,,,Zambia,4963,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,addcba87-d35d-40c5-a1f8-36f673d2e318,1570,,,3920406,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,76,Tanzania,4953,['56861a27-2af6-4f79-8a43-177f72799abd'],0,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.766423,,,,,,,,,,04f400c5-17c8-40cf-9ca7-1a0376090b19,5,,"[60.0, 40.0]",3920406,0,,,,,-2.8430936,,Right Foot,,,,"[54.8, 38.4]",,Ground Pass,,5.440588,,,Faisal Salum Abdalla,103268.0,,,,,Kick Off,1,From Kick Off,Mbwana Ally Samatta,16548.0,Center Forward,2,Tanzania,4953,['31ed031e-5316-43b2-9a24-327c87974de7'],0,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:00.764,Pass,
,,,,,,,,,,,,,,,,,2.104759,,,,,,,,,,eeb3fc06-3412-497a-b0e2-4631f56bdc0e,8,,"[54.6, 40.4]",3920406,0,,,,,2.06881,,Right Foot,,,,"[40.3, 66.7]",,Ground Pass,,29.936266,,,Haji Mnoga,51494.0,,,,,,1,From Kick Off,Faisal Salum Abdalla,103268.0,Center Attacking Midfield,2,Tanzania,4953,['2c4819bc-ab35-4753-8644-91abf1f2d0f3'],2,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:02.497,Pass,
,,,,,,,,,,,,,,,,,1.77887,,,,,,,,,,161a6f16-c6ee-46d4-b5bf-1b2c6c8c0fbf,11,,"[34.9, 64.7]",3920406,0,,,,,-2.1421337,,Right Foot,,,,"[26.8, 52.1]",,Ground Pass,,14.978985,,,Bakari Nondo Mwamnyeto,103269.0,,,,,,1,From Kick Off,Haji Mnoga,51494.0,Right Back,2,Tanzania,4953,['1722beb1-1acc-4af0-9b5d-0cc971cb8b04'],5,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:05.088,Pass,
,,,,,,,,,,,,,,,,,0.883438,,,,,,,,,,7adf2a00-25a5-4200-b21c-12af1989c354,14,,"[24.2, 56.0]",3920406,0,,,,,1.1600794,,Right Foot,,,,"[29.6, 68.4]",,Ground Pass,,13.524792,,,Haji Mnoga,51494.0,,,,,,1,From Kick Off,Bakari Nondo Mwamnyeto,103269.0,Right Center Back,2,Tanzania,4953,['0119dc49-000a-4191-b2da-ce88996c7816'],8,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:08.230,Pass,
