50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f2a58e02-853f-4e86-b24e-ad48e7aaa7f1,1,,,3920409,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea-Bissau,4894,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 68500, 'name': 'Jonas Asvedo Mendes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9361, 'name': 'Houboulang Mendes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 4376, 'name': 'Edgar Miguel Ié'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 7568, 'name': 'Opa Sangante'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 23013, 'name': 'Eulânio Ângelo Chipela Gomes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 363738, 'name': 'Fernando de Lacerda Gomes'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 36813, 'name': 'Janio Bikel Figueiredo Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 46312, 'name': 'Famana Quizera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 10854, 'name': 'Euciodálcio Gomes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 12175, 'name': 'Carlos Mendes Gomes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 20840, 'name': 'Zinho Gano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Guinea-Bissau,4894,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a3daa5b7-36ea-42c0-8e56-5c1ea140c294,2,,,3920409,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea-Bissau,4894,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 358410, 'name': 'Stanley Bobo Nwabali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 3923, 'name': 'Oluwasemilogo Adesewo Ibidapo Ajayi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5830, 'name': 'Kenneth Josiah Omeruo'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 43779, 'name': 'Calvin Bassey Ughelumba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3806, 'name': 'Bright Osayi-Samuel'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 11492, 'name': 'Temitayo Olufisayo Olaoluwa Aina'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 24467, 'name': 'Frank Onyeka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3856, 'name': 'Joe Aribo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 16335, 'name': 'Samuel Chimerenka Chukwueze'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 18163, 'name': 'Moses Daddy-Ajala Simon'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 11277, 'name': 'Victor James Osimhen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Nigeria,775,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aa3ea798-6cff-4e87-b0d7-1e1224609e84,3,,,3920409,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea-Bissau,4894,['8f6f19bf-3bd1-4547-bb7b-61fa3262a4d2'],0,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f6f19bf-3bd1-4547-bb7b-61fa3262a4d2,4,,,3920409,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea-Bissau,4894,['aa3ea798-6cff-4e87-b0d7-1e1224609e84'],0,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,812b682b-0b39-4236-b51d-341fcb579336,1745,,,3920409,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Guinea-Bissau,4894,['5222b46f-8357-4d28-8f71-0c696d41912c'],0,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5222b46f-8357-4d28-8f71-0c696d41912c,1746,,,3920409,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Guinea-Bissau,4894,['812b682b-0b39-4236-b51d-341fcb579336'],0,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.930153,,,,,,,,,,,,,14054c5a-28d8-473c-bba8-3a4e3a44d7d2,5,,"[60.0, 40.0]",3920409,0,,,,2.7610862,,Right Foot,,"[35.0, 50.0]",Ground Pass,,26.925823,,,Kenneth Josiah Omeruo,5830.0,,,,,Kick Off,1,From Kick Off,Moses Daddy-Ajala Simon,18163.0,Left Attacking Midfield,2,Nigeria,775,['12e08323-112f-4969-af34-47a5bd4cbbe3'],0,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.667,Pass,
,,,,,,,,,,,,,,,,,,,1.385302,,,,,,,,,,,,,64c281be-e050-449c-864b-d1de0b534e86,8,,"[35.6, 49.4]",3920409,0,,,,-1.5348406,,Right Foot,,"[36.1, 35.5]",Ground Pass,,13.90899,,,Calvin Bassey Ughelumba,43779.0,,,,,,1,From Kick Off,Kenneth Josiah Omeruo,5830.0,Center Back,2,Nigeria,775,['31e417f8-3f76-4df7-a1d9-fdc238a0d8ec'],3,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:03.282,Pass,
,,,,,,,,,,,,,,,,,,,1.605603,,,,,,,,,,,,,d4e92682-8099-4036-b156-1e142e8b7e4e,12,,"[38.1, 29.1]",3920409,0,,,,1.6172744,,Left Foot,,"[37.3, 46.3]",Ground Pass,,17.218596,,,Kenneth Josiah Omeruo,5830.0,,,,,,1,From Kick Off,Calvin Bassey Ughelumba,43779.0,Left Center Back,2,Nigeria,775,['c5adbefb-2869-4819-b84d-9292fe760117'],6,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:06.671,Pass,
,,,,,,,,,,,,,,,,,,,2.846309,,,,,,,,,,,,,007ef95d-7c07-432b-9b0b-3bdbb41aa428,15,,"[37.3, 46.3]",3920409,0,,,,0.07485985,,Right Foot,,"[85.3, 49.9]",High Pass,,48.13481,,,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,,,,,,1,From Kick Off,Kenneth Josiah Omeruo,5830.0,Center Back,2,Nigeria,775,['ee72e2ea-3441-4198-8fdd-eba50ad788b4'],9,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:09.199,Pass,
