50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,779106f5-ed41-4ea2-ba67-9794d3f7bcbb,1,,,,3920411,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 105932, 'name': 'Josimar José Évora Dias'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 28413, 'name': 'Willy Afonso Semedo Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 45557, 'name': 'Logan Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 105931, 'name': 'Edilson Alberto Monteiro Sanches Borges'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 48342, 'name': 'Dylan Tavares dos Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 132800, 'name': 'Kevin Lenini Gonçalves Pereira de Pina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 40485, 'name': 'Ryan Isaac Mendes da Graça'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 23301, 'name': 'Kenny Rocha Santos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 50968, 'name': 'Erickson Patrick Correia Andrade'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16001, 'name': 'Garry Mendes Rodrigues'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 105936, 'name': 'Gilson Benchimol Tavares'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Cape Verde Islands,4924,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7ec45d31-0d8e-4390-8102-bd7a3883e98b,2,,,,3920411,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5265, 'name': 'Mohamed El Sayed Mohamed El Shenawy Gomaa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 66892, 'name': 'Mohamed Hany Gamal Eldemerdash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4063, 'name': 'Ahmed Elsayed Ali Elsayed Hegazy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 69563, 'name': 'Mohamed Abdelmonem'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 67737, 'name': 'Ahmed Mohamed Abo El Fotouh Mohamed'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 70682, 'name': 'Marwan Attia Fahim Ghallab'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 66887, 'name': 'Hamdi Fathi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 67742, 'name': 'Emam Ashour Metwally Abdelghany'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 66878, 'name': 'Ahmed Sayed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 40761, 'name': 'Omar Marmoush'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 66886, 'name': 'Mostafa Mohamed Ahmed Abdallah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Egypt,774,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,481af8b6-d252-49f5-b685-72282483046b,3,,,,3920411,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,['c65fd840-9841-4256-8590-1d0d4831b39c'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c65fd840-9841-4256-8590-1d0d4831b39c,4,,,,3920411,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,['481af8b6-d252-49f5-b685-72282483046b'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9c6397c5-0dbb-4bd3-bd25-345f5022e26d,1773,,,,3920411,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Egypt,774,['24ec11d6-57f0-416b-a5e3-2a12e6d9ffb3'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,24ec11d6-57f0-416b-a5e3-2a12e6d9ffb3,1774,,,,3920411,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Egypt,774,['9c6397c5-0dbb-4bd3-bd25-345f5022e26d'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,26ed4223-69e8-4fa7-8da1-f21bf0d1dbab,5,,,"[60.0, 40.0]",3920411,0,,,,-2.8798163,,Right Foot,,,"[33.5, 32.9]",,Ground Pass,,27.43465,,,,Edilson Alberto Monteiro Sanches Borges,105931.0,,,,,,Kick Off,1,From Kick Off,Gilson Benchimol Tavares,105936.0,Center Forward,2,Cape Verde Islands,4924,['eb9b1fa3-1466-4ebc-a7cd-c77a6e9905da'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.400,Pass,
,,,,,,,,,,,,,,,,,,2.306037,,,,,,,,,,,e1da7f09-b556-42d0-b510-971d3ae38a76,8,,,"[35.4, 39.3]",3920411,0,,,,-0.5896035,,Right Foot,,,"[78.6, 10.4]",,High Pass,,51.975475,,Incomplete,,Garry Mendes Rodrigues,16001.0,,,,,,,1,From Kick Off,Edilson Alberto Monteiro Sanches Borges,105931.0,Left Center Back,2,Cape Verde Islands,4924,"['36b1ed96-e14f-4d4f-854d-0532ae6c681e', 'cdfb4053-d3e7-49d9-bcbc-765eb961eb38']",6,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:06.479,Pass,
,,,,,,,,,,,,,,,,,,2.337062,,,,,,,,,,,36b1ed96-e14f-4d4f-854d-0532ae6c681e,11,,,"[41.5, 69.7]",3920411,0,,,True,0.49999523,,,,,"[52.3, 75.6]",,High Pass,,12.306502,,Incomplete,,Ahmed Sayed,66878.0,,,,,,Interception,1,From Kick Off,Mohamed Hany Gamal Eldemerdash,66892.0,Right Back,2,Cape Verde Islands,4924,"['e1da7f09-b556-42d0-b510-971d3ae38a76', '366af402-8425-41a5-9616-fcde24580190', '27cb2176-71de-4884-aead-ed744f9fbd51', 'b0781883-2770-4427-a365-ec5eaec49fc4']",8,,,,,,,,,,,,,,,,,Egypt,774,00:00:08.786,Pass,True
,,,,,,,,,,,,,,,,,,1.479997,,,,,,,,,,,366af402-8425-41a5-9616-fcde24580190,14,,,"[67.8, 4.5]",3920411,0,,,True,-0.1746722,,,,,"[81.4, 2.1]",,High Pass,,13.810142,,,,Garry Mendes Rodrigues,16001.0,,,,,,Recovery,1,From Kick Off,Dylan Tavares dos Santos,48342.0,Left Back,2,Cape Verde Islands,4924,"['b7c03028-2698-423a-b9c1-fff87a1b822b', '33252d48-fc95-4e03-b9e5-8643dfbcff6b', '36b1ed96-e14f-4d4f-854d-0532ae6c681e']",11,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:11.123,Pass,True
