50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7719992d-e4e3-4c18-8460-2ee50ae28279,1,,,,3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea,4892,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 182573, 'name': 'Ibrahim Kone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 131849, 'name': 'Antoine Conte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 46008, 'name': 'Saidou Sow'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 16025, 'name': 'Mohamed Aly Camara'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 39073, 'name': 'Moriba Kourouma Kourouma'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 39559, 'name': 'Aguibou Camara'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 406457, 'name': 'Facinet Conte'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 8505, 'name': 'Naby Deco Keïta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 9102, 'name': 'Serhou Guirassy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Guinea,4892,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e1b92f60-dabe-42a9-b8fe-15ff3064755e,2,,,,3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea,4892,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7379, 'name': 'Edouard Mendy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 20758, 'name': 'Krépin Diatta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 25759, 'name': 'Abdoulaye Seck'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 32915, 'name': 'Ismail Jakobs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 21026, 'name': 'Pape Gueye'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 50498, 'name': 'Pape Matar Sarr'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 18516, 'name': 'Habibou Mouhamadou Diallo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,90f56239-24bd-451c-b9cc-e595e3867bb7,3,,,,3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea,4892,['bcb4025b-30c8-434b-b0e9-13715c384711'],0,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bcb4025b-30c8-434b-b0e9-13715c384711,4,,,,3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea,4892,['90f56239-24bd-451c-b9cc-e595e3867bb7'],0,,,,,,,,,,,,,,,,,Guinea,4892,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2f9c5373-c881-4ca4-8d0e-1e901955a6a2,1616,,,,3920412,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Guinea,4892,['6b072cfd-cbf0-45ca-a9bd-7819f943c683'],0,,,,,,,,,,,,,,,,,Guinea,4892,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6b072cfd-cbf0-45ca-a9bd-7819f943c683,1617,,,,3920412,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Guinea,4892,['2f9c5373-c881-4ca4-8d0e-1e901955a6a2'],0,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.001956,,,,,,,,,,,,29884af8-12e0-42e8-88b2-4503b49551d2,5,,,"[61.0, 40.1]",3920412,0,,,,,2.6868734,,Right Foot,,"[52.0, 44.5]",,Ground Pass,,10.017983,,,,Pape Matar Sarr,50498.0,,,,,Kick Off,1,From Kick Off,Habibou Mouhamadou Diallo,18516.0,Center Forward,2,Senegal,787,['f23bcc43-8096-444a-947b-23bdfc1fecf9'],1,,,,,,,,,,,,,,,,,Senegal,787,00:00:01.006,Pass,
,,,,,,,,,,,,,,,,,1.712613,,,,,,,,,,,,0f3edc66-d864-4d99-bef6-6354fc4e9421,8,,,"[50.8, 44.1]",3920412,0,,,,,-2.0518198,,Right Foot,,"[37.7, 19.0]",,Ground Pass,,28.312895,,,,Kalidou Koulibaly,5675.0,,,,,,1,From Kick Off,Pape Matar Sarr,50498.0,Right Center Midfield,2,Senegal,787,['295be0ab-f425-4826-b172-93a462f2d581'],2,,,,,,,,,,,,,,,,,Senegal,787,00:00:02.795,Pass,
,,,,,,,,,,,,,,,,,0.762399,,,,,,,,,,,,86e8103e-4710-4234-ab53-26a289105be4,11,,,"[35.8, 17.8]",3920412,0,,,,,0.9861951,,Right Foot,,"[40.3, 24.6]",,Ground Pass,,8.15414,,,,Nampalys Mendy,4506.0,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,2,Senegal,787,['7738153b-1154-4d41-8632-70df80d323ea'],5,,,,,,,,,,,,,,,,,Senegal,787,00:00:05.444,Pass,
,,,,,,,,,,,,,,,,,1.502146,,,,,,,,,,,,fa2eecff-5b4e-4230-ba13-772138bbfd09,14,,,"[39.9, 24.2]",3920412,0,,,,,3.028673,,Right Foot,,"[30.2, 25.3]",,Ground Pass,,9.762172,,,,Abdoulaye Seck,25759.0,,,,,,1,From Kick Off,Nampalys Mendy,4506.0,Left Center Midfield,2,Senegal,787,['52ab34e6-cb08-4333-909d-c228c7f978c3'],6,,,,,,,,,,,,,,,,,Senegal,787,00:00:06.327,Pass,
