50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,96fdc813-62a6-418d-871b-5db35a2b8b87,1,,,3920413,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gambia,4934,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 185579, 'name': 'Baboucarr Gaye'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 82922, 'name': 'Muhammed Sanneh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 35689, 'name': 'James Gomez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 12498, 'name': 'Omar Colley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 47762, 'name': 'Jacob Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 28212, 'name': 'Alasana Manneh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 105952, 'name': 'Yusupha Bobb'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 4471, 'name': 'Ablie Jallow'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 3}, {'player': {'id': 307271, 'name': 'Yankuba Minteh'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 6988, 'name': 'Musa Barrow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 50938, 'name': 'Ali Sowe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",Gambia,4934,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,25d5106f-6252-49ac-9c5a-9747cbe2f183,2,,,3920413,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gambia,4934,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 24670, 'name': 'Joseph Fabrice Ondoa Ebogo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 74588, 'name': 'Christopher Wooh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 135043, 'name': 'Enzo Gianni Tchato Mbiayi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 32190, 'name': 'Darlin Zidane Yongwa Ngameni'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10530, 'name': 'Jules Olivier Ntcham'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 189348, 'name': 'Frank Magri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Cameroon,2722,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,594ab768-64ec-4b92-bd88-53c25d7bd2c7,3,,,3920413,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gambia,4934,['c4fdf450-801c-444c-8699-7779ed2258a0'],0,,,,,,,,,,,,,,,,,Gambia,4934,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4fdf450-801c-444c-8699-7779ed2258a0,4,,,3920413,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gambia,4934,['594ab768-64ec-4b92-bd88-53c25d7bd2c7'],0,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aaff027d-f2a8-444b-9117-93f05124ce38,1323,,,3920413,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,84,Gambia,4934,['9ca98230-494c-4783-807c-377f18f63beb'],0,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ca98230-494c-4783-807c-377f18f63beb,1324,,,3920413,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,84,Gambia,4934,['aaff027d-f2a8-444b-9117-93f05124ce38'],0,,,,,,,,,,,,,,,,,Gambia,4934,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,22fc17a1-446b-4174-9328-2de3721711e8,5,,"[60.0, 40.0]",3920413,0,,,,,3.122727,,Left Foot,,,,"[49.4, 40.2]",,Ground Pass,,10.601887,,,,Musa Barrow,6988.0,,,,,Kick Off,1,From Kick Off,Ali Sowe,50938.0,Center Forward,2,Gambia,4934,['da4bc8fd-6fbe-432f-884d-83f3bb67b697'],0,,,,,,,,,,,,,,,,,Gambia,4934,00:00:00.573,Pass,
,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,056bbc4d-e74d-4b76-9bcc-5aa021c41ff6,8,,"[47.5, 36.4]",3920413,0,,,,,-1.9446539,,Right Foot,,,,"[42.4, 23.4]",,Ground Pass,,13.964598,,,,Yusupha Bobb,105952.0,,,,,,1,From Kick Off,Musa Barrow,6988.0,Center Attacking Midfield,2,Gambia,4934,['19dc9d2b-b1f6-4ca2-82c8-4153b54cefd3'],2,,,,,,,,,,,,,,,,,Gambia,4934,00:00:02.933,Pass,
,,,,,,,,,,,,,,,,,,,,2.079999,,,,,,,,,,,,,a47c1dab-708c-4692-b6ea-cbf2dc282d48,12,,"[40.0, 23.1]",3920413,0,,,,,2.9613056,,Right Foot,,,,"[19.7, 26.8]",,Ground Pass,,20.634438,,,,Omar Colley,12498.0,,,,,,1,From Kick Off,Yusupha Bobb,105952.0,Left Defensive Midfield,2,Gambia,4934,"['5a67e9f4-042b-4a99-8804-54268f048170', 'e063f097-9214-4be9-9210-15dae5e5a8db']",4,,,,,,,,,,,,,,,,,Gambia,4934,00:00:04.653,Pass,True
,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,28b5dedc-21b6-4b93-9385-a1c5c27bf90c,15,,"[13.4, 26.5]",3920413,0,,,,,1.9974238,,Left Foot,,,,"[4.9, 45.2]",,Ground Pass,,20.541178,,,,Baboucarr Gaye,185579.0,,,,,,1,From Kick Off,Omar Colley,12498.0,Left Center Back,2,Gambia,4934,['1c73659f-334f-4c2e-bfee-47624ce740eb'],7,,,,,,,,,,,,,,,,,Gambia,4934,00:00:07.573,Pass,
