ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,8cc532b2-b780-4ae9-bb5b-eb2b8a516b1e,1,,,3920417,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Namibia,4980,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 125324, 'name': 'Lloyd Junior Kazapua'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 103799, 'name': 'Ivan Kamberipa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 264381, 'name': 'Kennedy Amutenya'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 135004, 'name': 'Lubeni Haukongo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 65555, 'name': 'Riaan Hanamub'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 136406, 'name': 'Aprocious Petrus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 389319, 'name': 'Muzeu Bethuel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 103803, 'name': 'Prins Menelik Tjiueza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 389316, 'name': 'Ngero Kaanjuka Katua'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 64612, 'name': 'Deon Hotto Kavendji'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 65723, 'name': 'Peter Shalulile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Namibia,4980,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,ab3b6e79-4974-4950-b883-a6e99f60a086,2,,,3920417,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Namibia,4980,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 102992, 'name': 'Djigui Diarra'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 23331, 'name': 'Boubakar Kouyate'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7295, 'name': 'Sikou Niakate'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 32952, 'name': 'Moussa Diarra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 67714, 'name': 'Aliou Dieng'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 4385, 'name': 'Yves Bissouma'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3710, 'name': 'Fousseni Diabaté'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 199653, 'name': 'Nene Dorgeles'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 51750, 'name': 'Youssoufou Niakaté'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 105182, 'name': 'Lassine Sinayoko'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",Mali,4930,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,9c262998-fcc1-412f-bc70-5028a3936bb6,3,,,3920417,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Namibia,4980,['99739926-6dff-4db7-8178-8cb54f144b16'],0,,,,,,,,,,,,,,,,,,Namibia,4980,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,99739926-6dff-4db7-8178-8cb54f144b16,4,,,3920417,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Namibia,4980,['9c262998-fcc1-412f-bc70-5028a3936bb6'],0,,,,,,,,,,,,,,,,,,Mali,4930,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,9283ca59-82ee-4575-aad7-eee64a002fa5,1396,,,3920417,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,85,Namibia,4980,['30b203a5-ce2f-41f9-8770-12938cfc23d1'],0,,,,,,,,,,,,,,,,,,Mali,4930,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,30b203a5-ce2f-41f9-8770-12938cfc23d1,1397,,,3920417,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,85,Namibia,4980,['9283ca59-82ee-4575-aad7-eee64a002fa5'],0,,,,,,,,,,,,,,,,,,Namibia,4980,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.854057,,,,,,,,,,,,c166b783-da96-41c8-abbf-4ddaf77b2978,5,,"[61.0, 40.1]",3920417,0,,,,-3.012896,,Right Foot,,,,"[52.5, 39.0]",Ground Pass,,8.570881,,,Yves Bissouma,4385.0,,,,,,Kick Off,1,From Kick Off,Youssoufou Niakaté,51750.0,Right Center Forward,2,Mali,4930,['eb089c8c-250b-4a8f-adb9-8e410528a550'],0,,,,,,,,,,,,,,,,,,Mali,4930,00:00:00.491,Pass,
,,,,,,,,,,,,,0.900433,,,,,,,,,,,,3c183549-9dad-4149-a421-383d4db775c3,8,,"[52.5, 38.7]",3920417,0,,,,1.8925469,,Left Foot,,,,"[48.3, 51.3]",Ground Pass,,13.281567,,,Aliou Dieng,67714.0,,,,,,,1,From Kick Off,Yves Bissouma,4385.0,Left Defensive Midfield,2,Mali,4930,['f9fb8e15-c3dd-467e-a1be-fa441627e7ac'],1,,,,,,,,,,,,,,,,,,Mali,4930,00:00:01.667,Pass,
,,,,,,,,,,,,,0.872984,,,,,,,,,,,,73eb7a3d-996b-4512-9131-a9f40af9e98a,11,,"[48.7, 53.1]",3920417,0,,,,1.9912016,,Left Foot,,,,"[41.1, 70.1]",Ground Pass,,18.621492,,,Hamari Traoré,3248.0,,,,,,,1,From Kick Off,Aliou Dieng,67714.0,Right Defensive Midfield,2,Mali,4930,['c07c157b-e102-4a8e-8330-02aa6969067b'],3,,,,,,,,,,,,,,,,,,Mali,4930,00:00:03.556,Pass,
,,,,,,,,,,,,,2.916405,,,,,,,,,,,,220c055d-fd80-45fe-9da6-9c51684801e2,14,,"[42.2, 70.7]",3920417,0,,,,-0.018304592,,Right Foot,,,,"[85.9, 69.9]",High Pass,,43.70732,Incomplete,,Fousseni Diabaté,3710.0,,,,,,,1,From Kick Off,Hamari Traoré,3248.0,Right Back,2,Mali,4930,"['8f6ef74d-c983-44f3-9e0b-af55ab28fbb3', '19f62055-fcb1-467f-90d9-e701e812888f']",5,,,,,,,,,,,,,,,,,,Mali,4930,00:00:05.967,Pass,
,,,,,,,,,,,,,1.188882,,,,,,,,,,,,8f6ef74d-c983-44f3-9e0b-af55ab28fbb3,16,,"[34.2, 10.2]",3920417,0,,,,-0.07910289,,Head,,,,"[50.6, 8.9]",High Pass,,16.451445,Incomplete,,Deon Hotto Kavendji,64612.0,,,,,,Recovery,1,From Kick Off,Riaan Hanamub,65555.0,Left Back,2,Mali,4930,"['7c764cb9-5c02-4684-b59a-3dd4eae892ee', '8b238c0a-4a39-4f3b-8843-4f5b938c43e6', '220c055d-fd80-45fe-9da6-9c51684801e2']",8,,,,,,,,,,,,,,,,,,Namibia,4980,00:00:08.884,Pass,
