50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,390be059-3ae4-49c2-9ba5-1269c9002872,1,,,3920418,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tanzania,4953,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 103262, 'name': 'Aishi Manula'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 136596, 'name': 'Lusajo Mwaikenda'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 103269, 'name': 'Bakari Nondo Mwamnyeto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 389092, 'name': 'Ibrahim Abdallah Hamad'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 105766, 'name': 'Mohamed Hussein Mohamed'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 86067, 'name': 'Himid Mao Mkami'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 136055, 'name': 'Novatus Dismas Miroshi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 51494, 'name': 'Haji Mnoga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 103268, 'name': 'Faisal Salum Abdalla'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 103270, 'name': 'Simon Happygod Msuva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 16548, 'name': 'Mbwana Ally Samatta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tanzania,4953,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,ea0dd6da-ec00-4964-b49a-2ddd1d37deb3,2,,,3920418,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tanzania,4953,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 35413, 'name': 'Lionel Mpasi-Nzau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30193, 'name': 'Gedeon Kalulu Kyatengwa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 24105, 'name': 'Dylan Batubinsika'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3587, 'name': 'Arthur Masuaku'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 28415, 'name': 'Charles Pickel'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4412, 'name': 'Samuel Moutoussamy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 13329, 'name': 'Silas Katompa Mvumpa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3130, 'name': 'Gaël Kakuta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 389291, 'name': 'Fiston Kalala Mayele'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 7294, 'name': 'Yoane Wissa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Congo DR,4881,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,4822d154-c9ed-454c-b9ce-cc34951cc6d8,3,,,3920418,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tanzania,4953,['4583f3f0-dcbd-4df2-9709-ac870aed0e1e'],0,,,,,,,,,,,,,,,,Tanzania,4953,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,4583f3f0-dcbd-4df2-9709-ac870aed0e1e,4,,,3920418,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tanzania,4953,['4822d154-c9ed-454c-b9ce-cc34951cc6d8'],0,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,f7c82243-3132-45b7-8a8a-a5c62e6efb20,1874,,,3920418,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Congo DR,4881,['2181e19e-ebce-4bf9-a58e-1429165b5dbc'],0,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,2181e19e-ebce-4bf9-a58e-1429165b5dbc,1875,,,3920418,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Congo DR,4881,['f7c82243-3132-45b7-8a8a-a5c62e6efb20'],0,,,,,,,,,,,,,,,,Tanzania,4953,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.734608,,,,,,,,,,0150d0e8-9408-42a1-928f-97d709a35f09,5,,"[60.0, 40.0]",3920418,0,,,,,-2.3357892,,Right Foot,,,,"[55.2, 35.0]",Ground Pass,,6.9310894,,,Faisal Salum Abdalla,103268.0,,,,,Kick Off,1,From Kick Off,Mbwana Ally Samatta,16548.0,Center Forward,2,Tanzania,4953,['692ab4c2-e803-475e-ab61-7858b571b561'],0,,,,,,,,,,,,,,,,Tanzania,4953,00:00:00.266,Pass,
,,,,,,,,,,,,,,,1.794852,,,,,,,,,,e29c23c1-c1ef-4dbb-baaf-40a62619a195,8,,"[54.8, 38.0]",3920418,0,,,,,2.3713448,,Right Foot,,,,"[34.7, 57.5]",Ground Pass,,28.004642,,,Lusajo Mwaikenda,136596.0,,,,,,1,From Kick Off,Faisal Salum Abdalla,103268.0,Center Attacking Midfield,2,Tanzania,4953,['1446d35f-fefe-4484-9ef2-e019dadf4634'],1,,,,,,,,,,,,,,,,Tanzania,4953,00:00:01.847,Pass,
,,,,,,,,,,,,,,,1.005528,,,,,,,,,,82cb4ac5-6133-469e-b8ee-6d049d0a0b07,11,,"[34.7, 57.5]",3920418,0,,,,,-2.1021867,,Right Foot,,,,"[27.0, 44.4]",Ground Pass,,15.195394,,,Bakari Nondo Mwamnyeto,103269.0,,,,,,1,From Kick Off,Lusajo Mwaikenda,136596.0,Right Back,2,Tanzania,4953,['dda26c03-8665-4268-837f-8c7a8260ee09'],4,,,,,,,,,,,,,,,,Tanzania,4953,00:00:04.694,Pass,
,,,,,,,,,,,,,,,1.245772,,,,,,,,,,d9210fb5-1a1e-4315-98fb-ee27cdd3b62c,14,,"[27.0, 44.4]",3920418,0,,,,,0.8076167,,Left Foot,,,,"[35.8, 53.6]",Ground Pass,,12.731065,,,Lusajo Mwaikenda,136596.0,,,,,,1,From Kick Off,Bakari Nondo Mwamnyeto,103269.0,Right Center Back,2,Tanzania,4953,['87c9d8e1-07f9-44a9-a178-f4202d4e87e4'],7,,,,,,,,,,,,,,,,Tanzania,4953,00:00:07.858,Pass,
