50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c7435bad-9092-4e5d-8f3f-9cb69f31f99c,1,,,3922237,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angola,4901,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 135849, 'name': 'Adilson Cipriano da Cruz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 145058, 'name': 'Eddie Marcos Melo Afonso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 103208, 'name': 'Kialonda Gaspar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10573, 'name': 'Jonathan Buatu Mananga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 135851, 'name': 'Augusto de Jesus Corte Real Carneiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 31016, 'name': 'Manuel Luís da Silva Cafumana'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 10844, 'name': 'Alfredo Kulembe Ribeiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 30626, 'name': 'Valdomiro Tualungo Paulo Lameiras'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 389328, 'name': 'Deivi Miguel Vieira'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10577, 'name': 'Jacinto Muondo Dala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 128881, 'name': 'Cristóvão Paciência Mabululo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Angola,4901,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9c6c99ac-1f71-4be8-afcd-3fd77b61e9fa,2,,,3922237,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angola,4901,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 125324, 'name': 'Lloyd Junior Kazapua'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 103799, 'name': 'Ivan Kamberipa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 264381, 'name': 'Kennedy Amutenya'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 135004, 'name': 'Lubeni Haukongo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 65555, 'name': 'Riaan Hanamub'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 136406, 'name': 'Aprocious Petrus'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 389316, 'name': 'Ngero Kaanjuka Katua'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 389319, 'name': 'Muzeu Bethuel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 103803, 'name': 'Prins Menelik Tjiueza'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 64612, 'name': 'Deon Hotto Kavendji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 65723, 'name': 'Peter Shalulile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Namibia,4980,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f37a3bc5-59c6-4ee8-ac1d-3801e1a6e8e3,3,,,3922237,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angola,4901,['f6e0cc2d-c780-4e3f-94ec-4caa02daa301'],0,,,,,,,,,,,,,,,,,,Angola,4901,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f6e0cc2d-c780-4e3f-94ec-4caa02daa301,4,,,3922237,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angola,4901,['f37a3bc5-59c6-4ee8-ac1d-3801e1a6e8e3'],0,,,,,,,,,,,,,,,,,,Namibia,4980,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9078b867-592c-4c96-a895-1ea33aae5fb5,1470,,,3922237,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,Namibia,4980,['2409de53-0d7c-42b3-b83a-d3731cfddbee'],0,,,,,,,,,,,,,,,,,,Angola,4901,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2409de53-0d7c-42b3-b83a-d3731cfddbee,1471,,,3922237,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,Namibia,4980,['9078b867-592c-4c96-a895-1ea33aae5fb5'],0,,,,,,,,,,,,,,,,,,Namibia,4980,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.591699,,,,,,,,,,,,ace74e2c-26bf-4219-a5db-bb11b5549952,5,,"[60.0, 40.0]",3922237,0,,,,2.6690958,,Right Foot,,,"[46.5, 46.9]",,Ground Pass,,15.161135,,,,Alfredo Kulembe Ribeiro,10844.0,,,,,Kick Off,1,From Kick Off,Cristóvão Paciência Mabululo,128881.0,Center Forward,2,Angola,4901,['e9ae5bdd-5b95-4b1b-8da7-b507ff0e246d'],0,,,,,,,,,,,,,,,,,,Angola,4901,00:00:00.562,Pass,
,,,,,,,,,,,,,,,,,1.259532,,,,,,,,,,,,5d408633-7fc8-4ec1-a801-369cf2a98dab,8,,"[46.1, 48.3]",3922237,0,,,,1.4288993,,Right Foot,,,"[49.7, 73.5]",,Ground Pass,,25.455845,,,,Eddie Marcos Melo Afonso,145058.0,,,,,,1,From Kick Off,Alfredo Kulembe Ribeiro,10844.0,Right Center Midfield,2,Angola,4901,['677fbe4a-73c8-4e20-bf91-98acd9e3f382'],2,,,,,,,,,,,,,,,,,,Angola,4901,00:00:02.706,Pass,
,,,,,,,,,,,,,,,,,1.704517,,,,,,,,,,,,e0b7c783-56e8-4929-9066-d3ed780892f2,11,,"[49.8, 73.0]",3922237,0,,,,-2.5477557,,Right Foot,,,"[30.1, 59.7]",,Ground Pass,,23.769308,,,,Kialonda Gaspar,103208.0,,,,,,1,From Kick Off,Eddie Marcos Melo Afonso,145058.0,Right Back,2,Angola,4901,['b913b98f-d188-40e6-bf4f-616e96e8c7fb'],4,,,,,,,,,,,,,,,,,,Angola,4901,00:00:04.920,Pass,
,,,,,,,,,,,,,,,,,1.680264,,,,,,,,,,,,ff7b9b28-9d3f-41d1-b2cf-775ce4a53ccc,14,,"[27.6, 57.5]",3922237,0,,,,-1.6019477,,Right Foot,,,"[26.5, 22.2]",,Ground Pass,,35.317135,,,,Jonathan Buatu Mananga,10573.0,,,,,,1,From Kick Off,Kialonda Gaspar,103208.0,Right Center Back,2,Angola,4901,['1631c3ac-ca1b-4d78-ba89-610e4a369099'],9,,,,,,,,,,,,,,,,,,Angola,4901,00:00:09.405,Pass,
,,,,,,,,,,,,,,,,,1.279684,,,,,,,,,,,,96550111-a489-435b-9fc1-16dbd10e8d8d,17,,"[27.0, 19.2]",3922237,0,,,,-0.8234421,,Right Foot,,,"[40.9, 4.2]",,Ground Pass,,20.450184,,,,Augusto de Jesus Corte Real Carneiro,135851.0,,,,,,1,From Kick Off,Jonathan Buatu Mananga,10573.0,Left Center Back,2,Angola,4901,['d76f151c-7b90-4507-b147-56840c5d895d'],12,,,,,,,,,,,,,,,,,,Angola,4901,00:00:12.574,Pass,
,,,,,,,,,,,,,,,,,0.93058,,,,,,,,,,,,f4c2f1f6-82ca-4047-940f-97b58efb07c3,20,,"[42.0, 4.4]",3922237,0,,,,1.6411927,,Left Foot,,,"[40.9, 20.0]",,Ground Pass,,15.638734,,,,Manuel Luís da Silva Cafumana,31016.0,,,,,,1,From Kick Off,Augusto de Jesus Corte Real Carneiro,135851.0,Left Back,2,Angola,4901,['f00dce03-7c9b-4c5c-b879-5c573deff7aa'],15,,,,,,,,,,,,,,,,,,Angola,4901,00:00:15.143,Pass,
,,,,,,,,,,,,,,,,,0.885883,,,,,,,,,,,,dd4e0601-2a45-435f-80fb-8d23a32660cb,23,,"[46.5, 12.8]",3922237,0,,,,-1.3511822,,Right Foot,,,"[49.0, 1.6]",,Ground Pass,,11.475626,,,,Augusto de Jesus Corte Real Carneiro,135851.0,,,,,,1,From Kick Off,Manuel Luís da Silva Cafumana,31016.0,Center Defensive Midfield,2,Angola,4901,['6171f9a7-4b10-47bd-a562-f13b1691da1c'],18,,,,,,,,,,,,,,,,,,Angola,4901,00:00:18.484,Pass,
,,,,,,,,,,,,,,,,,0.799999,,,,,,,,,,,,e5da1937-1c2a-480f-9a77-3a685875da59,27,,"[49.8, 4.9]",3922237,0,,,,2.9746225,,Left Foot,,,"[40.9, 6.4]",,Ground Pass,,9.025519,,,,Manuel Luís da Silva Cafumana,31016.0,,,,,,1,From Kick Off,Augusto de Jesus Corte Real Carneiro,135851.0,Left Back,2,Angola,4901,"['03659d36-b7f6-46a7-a7b2-82633cabe50f', 'e34dbd85-f42e-4842-88d6-fa5beaa5d393']",21,,,,,,,,,,,,,,,,,,Angola,4901,00:00:21.289,Pass,True
,,,,,,,,,,,,,,,,,2.054961,,,,,,,,,,,,1562fa72-c849-42f2-9f77-2c11ce43ad08,30,,"[36.7, 12.8]",3922237,0,,,,1.7604657,,Right Foot,,,"[30.0, 47.7]",,Ground Pass,,35.537304,,,,Kialonda Gaspar,103208.0,,,,,,1,From Kick Off,Manuel Luís da Silva Cafumana,31016.0,Center Defensive Midfield,2,Angola,4901,['d40d8774-1786-45e6-8115-90930074a036'],24,,,,,,,,,,,,,,,,,,Angola,4901,00:00:24.788,Pass,
,,,,,,,,,,,,,,,,,1.645197,,,,,,,,,,,,aa25de7d-b594-4fcc-9ef6-f020b9231ab5,33,,"[35.9, 52.8]",3922237,0,,,,-1.5639704,,Right Foot,,,"[36.1, 23.5]",,Ground Pass,,29.300682,,,,Jonathan Buatu Mananga,10573.0,,,,,,1,From Kick Off,Kialonda Gaspar,103208.0,Right Center Back,2,Angola,4901,['5e7589fa-06fd-4786-9cae-f66c4548a907'],31,,,,,,,,,,,,,,,,,,Angola,4901,00:00:31.448,Pass,
,,,,,,,,,,,,,,,,,1.285254,,,,,,,,,,,,3b2653c1-de5e-4eea-985c-a1d82cae2e7b,37,,"[38.6, 14.1]",3922237,0,,,,-0.6831914,,Right Foot,,,"[51.5, 3.6]",,Ground Pass,,16.633099,,,,Augusto de Jesus Corte Real Carneiro,135851.0,,,,,,1,From Kick Off,Jonathan Buatu Mananga,10573.0,Left Center Back,2,Angola,4901,"['fe758642-70ae-4a37-9a12-6939d766c759', '5478b6df-5ec1-49b3-88d2-be0a56cd89f9']",35,,,,,,,,,,,,,,,,,,Angola,4901,00:00:35.067,Pass,True
