50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,150ede87-bc63-47d3-91be-2f6acfbb9ab7,1,,,,3922238,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 358410, 'name': 'Stanley Bobo Nwabali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 3923, 'name': 'Oluwasemilogo Adesewo Ibidapo Ajayi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 43779, 'name': 'Calvin Bassey Ughelumba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 11492, 'name': 'Temitayo Olufisayo Olaoluwa Aina'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 31949, 'name': 'Zaidu Sanusi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 24467, 'name': 'Frank Onyeka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 18163, 'name': 'Moses Daddy-Ajala Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3447, 'name': 'Ademola Lookman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 11277, 'name': 'Victor James Osimhen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Nigeria,775,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,67b0e1aa-d240-4e59-8a01-b6010111de97,2,,,,3922238,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 24670, 'name': 'Joseph Fabrice Ondoa Ebogo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 28444, 'name': 'Oumar Gonzalez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 74588, 'name': 'Christopher Wooh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 16015, 'name': 'Nicolas Moumi Ngamaleu'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10530, 'name': 'Jules Olivier Ntcham'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 189348, 'name': 'Frank Magri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Cameroon,2722,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,a09872fd-572b-49d2-b94b-3a89d430ef4e,3,,,,3922238,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,['0c49a977-32aa-43ad-9010-213a0dc7b93a'],0,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,0c49a977-32aa-43ad-9010-213a0dc7b93a,4,,,,3922238,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria,775,['a09872fd-572b-49d2-b94b-3a89d430ef4e'],0,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,6c534404-929c-41e0-95ea-41f5957e69b6,1417,,,,3922238,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Nigeria,775,['c85b0b8b-5bef-47cd-8638-9b4b9d024983'],0,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,c85b0b8b-5bef-47cd-8638-9b4b9d024983,1418,,,,3922238,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Nigeria,775,['6c534404-929c-41e0-95ea-41f5957e69b6'],0,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.988846,,,,,,,,,,,9669afde-4e74-4780-84f6-2fa55b23a6eb,5,,,"[60.0, 40.0]",3922238,0,,,,2.8732264,,Right Foot,,,"[36.0, 46.6]",,Ground Pass,24.890963,,,,William Troost-Ekong,5455.0,,,,,Kick Off,1,From Kick Off,Alex Iwobi,3647.0,Left Defensive Midfield,2,Nigeria,775,['17d60bc9-b702-4af6-a033-f57129e4178b'],0,,,,,,,,,,,,,,,,Nigeria,775,00:00:00.493,Pass,
,,,,,,,,,,,,,,0.976535,,,,,,,,,,,0c766705-5a2c-4540-8527-2b63ce6ec815,7,,,"[36.6, 47.2]",3922238,0,,,,-1.6023648,,Right Foot,,,"[36.0, 28.2]",,Ground Pass,19.009472,,,,Calvin Bassey Ughelumba,43779.0,,,,,,1,From Kick Off,William Troost-Ekong,5455.0,Center Back,2,Nigeria,775,['b0e3570e-5b58-4672-8845-1c9970d7f30e'],2,,,,,,,,,,,,,,,,Nigeria,775,00:00:02.482,Pass,
,,,,,,,,,,,,,,3.067957,,,,,,,,,,,28a05212-680a-457b-b82b-2a3cd34b58f1,10,,,"[36.4, 27.4]",3922238,0,,,,0.54990226,,Left Foot,,,"[84.2, 56.7]",,High Pass,56.065407,,,,Victor James Osimhen,11277.0,,,,,,1,From Kick Off,Calvin Bassey Ughelumba,43779.0,Left Center Back,2,Nigeria,775,['21c5ead3-03e1-4ff7-b960-38d16ff3a63c'],5,,,,,,,,,,,,,,,,Nigeria,775,00:00:05.120,Pass,
,,,,,,,,,,,,,,1.643377,,,,,,,,,,,f4f3afdf-1eb6-4981-a2cd-5ac5f0b1a687,13,,,"[84.2, 56.7]",3922238,0,,,True,-1.6924942,,,,,"[82.5, 42.8]",,High Pass,14.003571,,Incomplete,,Alex Iwobi,3647.0,,,,,,1,From Kick Off,Victor James Osimhen,11277.0,Center Forward,2,Nigeria,775,"['2ff94820-dda1-4eb2-ac63-2bd30cfd7ea7', '6d0bfca8-c948-4e36-aab0-6f9296ad9b33', '3d4e8ae2-0370-46e3-b7eb-7254de8d26ea']",8,,,,,,,,,,,,,,,,Nigeria,775,00:00:08.188,Pass,True
