50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,205d2131-17ca-4b04-b838-888081b7784b,1,,,3922356,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Congo DR,4881,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 35413, 'name': 'Lionel Mpasi-Nzau'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30193, 'name': 'Gedeon Kalulu Kyatengwa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 105946, 'name': 'Henoc Inonga Baka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3587, 'name': 'Arthur Masuaku'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 28415, 'name': 'Charles Pickel'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4412, 'name': 'Samuel Moutoussamy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 35684, 'name': 'Meschak Elia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 7294, 'name': 'Yoane Wissa'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul'Ofeko Batombo""}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Congo DR,4881,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aec11252-ad7c-48d7-88f9-b8d8336f45cf,2,,,3922356,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Congo DR,4881,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 182573, 'name': 'Ibrahim Kone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 176683, 'name': 'Ibrahim Diakité'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 4267, 'name': 'Mouctar Diakhaby'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7360, 'name': 'Julian Jeanvier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8505, 'name': 'Naby Deco Keïta'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 47351, 'name': 'Morgan Guilavogui'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 39559, 'name': 'Aguibou Camara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 132711, 'name': 'Sekou Oumar Sylla'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 8454, 'name': 'Mohamed Bayo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Guinea,4892,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ee8cf2e8-b35b-4ce6-8799-a7a68c0ba265,3,,,3922356,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Congo DR,4881,['83311839-ddd5-4dfd-8c24-b2566c125562'],0,,,,,,,,,,,,,,,,,Guinea,4892,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,83311839-ddd5-4dfd-8c24-b2566c125562,4,,,3922356,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Congo DR,4881,['ee8cf2e8-b35b-4ce6-8799-a7a68c0ba265'],0,,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8b0a9378-6b62-4f62-aa8f-aac0e482d6ef,1456,,,3922356,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,76,Guinea,4892,['6b1a31c3-b9c8-4b74-8cd8-40b527aa6349'],0,,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6b1a31c3-b9c8-4b74-8cd8-40b527aa6349,1457,,,3922356,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,76,Guinea,4892,['8b0a9378-6b62-4f62-aa8f-aac0e482d6ef'],0,,,,,,,,,,,,,,,,,Guinea,4892,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.879997,,,,,,,,,,,,,,e7cbe4f8-a7c9-4a9f-8210-6d18b9bd2a0f,5,,"[61.0, 40.1]",3922356,0,,,,-3.012543,,Right Foot,,,"[47.9, 38.4]",Ground Pass,,13.209845,,,Naby Deco Keïta,8505.0,,,,,Kick Off,1,From Kick Off,Mohamed Bayo,8454.0,Center Forward,2,Guinea,4892,['6e4b251b-eee6-4743-bb6a-27de3c67a36e'],1,,,,,,,,,,,,,,,,,Guinea,4892,00:00:01.263,Pass,
,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,5c2ef8cf-38d1-45cb-b5c6-b232fe422f2f,8,,"[48.1, 38.7]",3922356,0,,,,1.735945,,Right Foot,,,"[44.9, 57.9]",Ground Pass,,19.46484,,,Amadou Diawara,8284.0,,,,,,1,From Kick Off,Naby Deco Keïta,8505.0,Left Defensive Midfield,2,Guinea,4892,['f5f337a8-464d-455d-ad39-0a355d702a9e'],3,,,,,,,,,,,,,,,,,Guinea,4892,00:00:03.823,Pass,
,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,10ca685f-362c-45c6-ab65-85d1b27e7a87,11,,"[44.9, 60.0]",3922356,0,,,,1.2870022,,Right Foot,,,"[50.5, 79.2]",Ground Pass,,20.0,,,Ibrahim Diakité,176683.0,,,,,,1,From Kick Off,Amadou Diawara,8284.0,Right Defensive Midfield,2,Guinea,4892,['fb2628b4-330e-4e42-918a-579eec2c5616'],6,,,,,,,,,,,,,,,,,Guinea,4892,00:00:06.463,Pass,
,,,,,,,,,,,,,,,,,,2.039997,,,,,,,,,,,,,,016e83c3-7a09-4f9e-b2fc-14246cd4e5cf,14,,"[52.3, 76.6]",3922356,0,,,,-2.6357436,,Right Foot,,,"[31.9, 65.3]",Ground Pass,,23.320591,,,Mouctar Diakhaby,4267.0,,,,,,1,From Kick Off,Ibrahim Diakité,176683.0,Right Back,2,Guinea,4892,['6f2313a7-a9bf-4dcc-a91d-7288ffc9ab93'],11,,,,,,,,,,,,,,,,,Guinea,4892,00:00:11.023,Pass,
