50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3a0ae186-0b84-4dea-b443-3adfc16f04dc,1,,,,3922658,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 105932, 'name': 'Josimar José Évora Dias'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7197, 'name': 'Steven Moreira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 45557, 'name': 'Logan Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 36271, 'name': 'Roberto Lopes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 133038, 'name': 'João Paulo Moreira Fernandes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 132800, 'name': 'Kevin Lenini Gonçalves Pereira de Pina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 23301, 'name': 'Kenny Rocha Santos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7753, 'name': 'Jamiro Gregory Monteiro Alvarenga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40485, 'name': 'Ryan Isaac Mendes da Graça'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 16001, 'name': 'Garry Mendes Rodrigues'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10598, 'name': 'Jovane Eduardo Borges Cabral'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Cape Verde Islands,4924,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9f81723c-edae-49b8-8b70-48f2ac4d5096,2,,,,3922658,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 66721, 'name': 'Ronwen Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 65719, 'name': 'Khuliso Johnson Mudau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 70093, 'name': 'Gomolemo Grant Kekana'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 65732, 'name': 'Mothobi Mvala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 65733, 'name': 'Aubrey Maphosa Modiba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 66716, 'name': 'Teboho Mokoena'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 42527, 'name': ""Sphephelo S''Miso Sithole""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 65727, 'name': 'Thapelo James Morena'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 65726, 'name': 'Themba Zwane'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 29367, 'name': 'Percy Tau'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 65853, 'name': 'Evidence Makgopa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",South Africa,4976,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,317833ec-7f18-4370-8497-728d91ed496b,3,,,,3922658,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,['e5b19a9a-278c-4827-a216-bad7aaf79891'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e5b19a9a-278c-4827-a216-bad7aaf79891,4,,,,3922658,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,['317833ec-7f18-4370-8497-728d91ed496b'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a0e15e26-b3b8-4e9e-8a75-bba4d2f7afdc,1650,,,,3922658,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,87,South Africa,4976,['02acac37-ed2c-4f43-bb22-99233760f427'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,02acac37-ed2c-4f43-bb22-99233760f427,1651,,,,3922658,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,87,South Africa,4976,['a0e15e26-b3b8-4e9e-8a75-bba4d2f7afdc'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a8e838f4-c133-4203-9100-f215abc4a7be,3056,,,,3922658,90,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,174,South Africa,4976,['2582ef5e-8564-4990-9e89-1654c54c5e8c'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2582ef5e-8564-4990-9e89-1654c54c5e8c,3057,,,,3922658,90,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,174,South Africa,4976,['a8e838f4-c133-4203-9100-f215abc4a7be'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ac6db575-52f7-485d-89e7-ab97cdae302f,3527,,,,3922658,105,,,,,,,,,,,,,,,,,,,,,,,,,4,From Free Kick,,,,194,Cape Verde Islands,4924,['96a25bfa-8fc5-4f96-879c-09755c2ec601'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,96a25bfa-8fc5-4f96-879c-09755c2ec601,3528,,,,3922658,105,,,,,,,,,,,,,,,,,,,,,,,,,4,From Free Kick,,,,194,Cape Verde Islands,4924,['ac6db575-52f7-485d-89e7-ab97cdae302f'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
