match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3922240,2024-01-28,20:00:00.000,1,1,available,unscheduled,2026-05-02T14:23:45.490823,,4,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,774,Egypt,male,,66,Egypt,4881,Congo DR,male,,52,"Congo, (Kinshasa)",33,Round of 16,1001497,Stade Laurent Pokou,55,Côte d'Ivoire,2323,Abongile Tom,211,South Africa,Rui Carlos Pinho da Vitória,Sébastien Desabre,261,Rui Carlos Pinho da Vitória,Rui Vitória,1970-04-16,183,Portugal,5011,Sébastien Desabre,,1976-08-02,78,France,1.1.0,2,2
3920399,2024-01-19,14:00:00.000,3,0,available,unscheduled,2026-05-02T05:59:06.800066,,2,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4924,Cape Verde Islands,male,,41,Cape Verde,4978,Mozambique,male,,155,Mozambique,10,Group Stage,117916,Stade Félix Houphouët-Boigny      ,55,Côte d'Ivoire,1003709,Samir Guezzaz,154,Morocco,Pedro Leitão Brito,Francisco Queriol Conde Júnior,1000417,Pedro Leitão Brito,Bubista,1970-01-06,41,Cape Verde,1001646,Francisco Queriol Conde Júnior,Chiquinho Conde,1965-11-22,155,Mozambique,1.1.0,2,2
3920413,2024-01-23,17:00:00.000,2,3,available,unscheduled,2026-05-02T05:58:38.856282,,3,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4934,Gambia,male,,83,Gambia,2722,Cameroon,male,,39,Cameroon,10,Group Stage,1001316,Stade de Bouaké,55,Côte d'Ivoire,1000963,Bamlak Tessema Weyesa,72,Ethiopia,Tom Saintfiet,Rigobert Song Bahanag,1000972,Tom Saintfiet,,1973-03-29,22,Belgium,1001250,Rigobert Song Bahanag,,1976-07-01,39,Cameroon,1.1.0,2,2
3920400,2024-01-19,17:00:00.000,3,1,available,unscheduled,2026-05-02T05:58:12.096660,,2,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,787,Senegal,male,,202,Senegal,2722,Cameroon,male,,39,Cameroon,10,Group Stage,1000822,Stade Charles Konan Banny de Yamoussoukro,55,Côte d'Ivoire,1003531,Mahmood Ali Mahmood Ismail,216,Sudan,Aliou Cissé,Rigobert Song Bahanag,635,Aliou Cissé,,1976-03-24,202,Senegal,1001250,Rigobert Song Bahanag,,1976-07-01,39,Cameroon,1.1.0,2,2
3920409,2024-01-22,17:00:00.000,0,1,available,unscheduled,2026-05-02T05:57:00.296561,,3,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4894,Guinea-Bissau,male,,96,Guinea-Bissau,775,Nigeria,male,,166,Nigeria,10,Group Stage,117916,Stade Félix Houphouët-Boigny      ,55,Côte d'Ivoire,1005493,Bouchra Karboubi,154,Morocco,Baciro Candé,José Vítor dos Santos Peseiro,1000429,Baciro Candé,,1967-04-06,96,Guinea-Bissau,523,José Vítor dos Santos Peseiro,José Peseiro,1960-04-04,183,Portugal,1.1.0,2,2
3920417,2024-01-24,17:00:00.000,0,0,available,unscheduled,2026-05-02T05:55:28.782913,,3,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4980,Namibia,male,,157,Namibia,4930,Mali,male,,140,Mali,10,Group Stage,1001497,Stade Laurent Pokou,55,Côte d'Ivoire,1003479,Samuel Uwikunda,189,Rwanda,Collin Benjamin,Éric Chelle,1002931,Collin Benjamin,,1978-08-03,157,Namibia,1000157,Éric Chelle,,1977-11-11,140,Mali,1.1.0,2,2
3920395,2024-01-17,20:00:00.000,1,1,available,unscheduled,2026-05-02T05:53:48.946881,,1,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4881,Congo DR,male,,52,"Congo, (Kinshasa)",4963,Zambia,male,,253,Zambia,10,Group Stage,1001497,Stade Laurent Pokou,55,Côte d'Ivoire,1000963,Bamlak Tessema Weyesa,72,Ethiopia,Sébastien Desabre,Avraham Grant,5011,Sébastien Desabre,,1976-08-02,78,France,4969,Avraham Grant,,1955-02-06,111,Israel,1.1.0,2,2
3920407,2024-01-21,20:00:00.000,4,0,available,unscheduled,2026-05-02T05:53:44.252368,,2,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4976,South Africa,male,,211,South Africa,4980,Namibia,male,,157,Namibia,10,Group Stage,1001609,Stade Amadou Gon Coulibaly,55,Côte d'Ivoire,1008307,Youcef Gamouh,4,Algeria,Hugo Henri Broos,Collin Benjamin,1801,Hugo Henri Broos,,1952-04-10,22,Belgium,1002931,Collin Benjamin,,1978-08-03,157,Namibia,1.1.0,2,2
3920412,2024-01-23,17:00:00.000,0,2,available,unscheduled,2026-05-02T05:53:44.316177,,3,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4892,Guinea,male,,95,Guinea,787,Senegal,male,,202,Senegal,10,Group Stage,1000822,Stade Charles Konan Banny de Yamoussoukro,55,Côte d'Ivoire,1003636,Pacifique Ndabihawenimana,37,Burundi,Kaba Diawara,Aliou Cissé,1000780,Kaba Diawara,,1975-12-16,95,Guinea,635,Aliou Cissé,,1976-03-24,202,Senegal,1.1.0,2,2
3920415,2024-01-23,20:00:00.000,1,0,available,unscheduled,2026-05-02T05:52:46.062182,,3,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4932,Mauritania,male,,144,Mauritania,4898,Algeria,male,,4,Algeria,10,Group Stage,1001316,Stade de Bouaké,55,Côte d'Ivoire,1003731,Omar Abdulkadir Artan,210,Somalia,Amir Abdou,Djamel Belmadi,1000971,Amir Abdou,,1972-07-08,50,Comoros,1000440,Djamel Belmadi,,1976-03-25,4,Algeria,1.1.0,2,2
3920404,2024-01-20,20:00:00.000,1,1,available,unscheduled,2026-05-02T05:52:05.261629,,2,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,777,Tunisia,male,,232,Tunisia,4930,Mali,male,,140,Mali,10,Group Stage,1001609,Stade Amadou Gon Coulibaly,55,Côte d'Ivoire,1003605,Daniel Nii Ayi Laryea,86,Ghana,Jalel Kadri,Éric Chelle,1001303,Jalel Kadri,,,232,Tunisia,1000157,Éric Chelle,,1977-11-11,140,Mali,1.1.0,2,2
3920389,2024-01-15,17:00:00.000,1,1,available,unscheduled,2026-05-02T05:48:09.875766,,1,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,2722,Cameroon,male,,39,Cameroon,4892,Guinea,male,,95,Guinea,10,Group Stage,1000822,Stade Charles Konan Banny de Yamoussoukro,55,Côte d'Ivoire,1003537,Ibrahim Mutaz,130,Libya,Rigobert Song Bahanag,Kaba Diawara,1001250,Rigobert Song Bahanag,,1976-07-01,39,Cameroon,1000780,Kaba Diawara,,1975-12-16,95,Guinea,1.1.0,2,2
3920393,2024-01-16,17:00:00.000,0,1,available,unscheduled,2026-05-02T05:51:55.200021,,1,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,777,Tunisia,male,,232,Tunisia,4980,Namibia,male,,157,Namibia,10,Group Stage,1001609,Stade Amadou Gon Coulibaly,55,Côte d'Ivoire,1005200,Abdulkadir Artan,210,Somalia,Jalel Kadri,Collin Benjamin,1001303,Jalel Kadri,,,232,Tunisia,1002931,Collin Benjamin,,1978-08-03,157,Namibia,1.1.0,2,2
